train_loss,train_accuracy,valid_loss,valid_accuracy
0.2236,0.9082,0.1100,0.9501
0.1654,0.9369,0.0846,0.9690
0.1142,0.9531,0.1199,0.9517
0.1053,0.9524,0.0598,0.9769
0.0935,0.9545,0.0762,0.9716
0.1067,0.9568,0.0808,0.9674
0.0911,0.9577,0.0845,0.9659
0.0775,0.9666,0.1173,0.9632
0.0980,0.9573,0.0849,0.9680
0.0672,0.9668,0.0615,0.9764
0.0596,0.9667,0.0585,0.9790
0.0549,0.9719,0.0774,0.9690
0.0767,0.9671,0.0606,0.9779
0.0431,0.9787,0.0773,0.9716
0.0876,0.9605,0.0821,0.9680
0.0494,0.9723,0.0608,0.9774
0.0691,0.9702,0.0865,0.9748
0.0587,0.9750,0.0755,0.9732
0.1133,0.9529,0.1409,0.9407
0.0721,0.9686,0.0799,0.9674
0.0550,0.9736,0.0531,0.9795
0.0469,0.9791,0.0486,0.9806
0.0426,0.9801,0.0633,0.9779
0.0327,0.9828,0.0594,0.9774
0.0459,0.9796,0.1022,0.9743
0.0513,0.9745,0.0732,0.9753
0.0317,0.9810,0.0584,0.9816
0.0563,0.9727,0.1009,0.9669
0.0389,0.9814,0.0703,0.9779
0.0390,0.9813,0.0556,0.9764
0.0340,0.9828,0.0812,0.9764
0.0468,0.9802,0.0654,0.9769
0.0383,0.9813,0.0583,0.9737
0.0313,0.9838,0.0511,0.9837
0.0232,0.9860,0.0692,0.9753
0.0293,0.9809,0.0577,0.9811
0.0388,0.9856,0.0774,0.9790
0.0414,0.9821,0.0733,0.9764
0.0387,0.9818,0.0648,0.9800
0.0429,0.9816,0.0728,0.9769
0.0373,0.9830,0.0719,0.9753
0.0421,0.9810,0.0682,0.9764
0.0479,0.9792,0.0559,0.9806
0.0293,0.9853,0.0544,0.9774
0.0324,0.9867,0.0562,0.9811
0.0220,0.9889,0.0569,0.9806
0.0219,0.9874,0.0781,0.9732
0.0258,0.9870,0.0561,0.9816
0.0286,0.9858,0.0655,0.9811
0.0320,0.9844,0.0566,0.9800
0.0156,0.9906,0.0520,0.9827
0.0145,0.9917,0.0523,0.9827
0.0139,0.9916,0.0526,0.9848
0.0104,0.9931,0.0560,0.9832
0.0115,0.9925,0.0548,0.9842
0.0149,0.9920,0.0499,0.9837
0.0118,0.9917,0.0551,0.9811
0.0098,0.9940,0.0540,0.9837
0.0109,0.9932,0.0534,0.9842
0.0116,0.9934,0.0537,0.9832
0.0076,0.9954,0.0570,0.9816
0.0112,0.9936,0.0550,0.9837
0.0117,0.9929,0.0518,0.9848
0.0135,0.9916,0.0481,0.9853
0.0083,0.9945,0.0581,0.9821
0.0105,0.9941,0.0580,0.9821
0.0083,0.9938,0.0606,0.9827
0.0072,0.9952,0.0585,0.9842
0.0065,0.9955,0.0592,0.9842
0.0100,0.9940,0.0663,0.9827
0.0074,0.9952,0.0586,0.9848
0.0076,0.9952,0.0665,0.9832
0.0082,0.9950,0.0627,0.9821
0.0081,0.9957,0.0588,0.9821
0.0098,0.9946,0.0558,0.9842
0.0068,0.9958,0.0545,0.9853
0.0060,0.9963,0.0574,0.9837
0.0088,0.9952,0.0581,0.9821
0.0079,0.9952,0.0574,0.9832
0.0100,0.9940,0.0536,0.9827
0.0120,0.9939,0.0558,0.9821
0.0109,0.9960,0.0570,0.9832
0.0051,0.9972,0.0560,0.9832
0.0066,0.9964,0.0563,0.9837
0.0042,0.9973,0.0709,0.9821
0.0114,0.9954,0.0523,0.9858
0.0051,0.9969,0.0546,0.9853
0.0076,0.9957,0.0629,0.9821
0.0073,0.9966,0.0538,0.9848
0.0057,0.9953,0.0521,0.9853
0.0065,0.9962,0.0599,0.9842
0.0052,0.9962,0.0570,0.9853
0.0066,0.9958,0.0554,0.9827
0.0061,0.9963,0.0625,0.9858
0.0055,0.9960,0.0595,0.9869
0.0054,0.9978,0.0555,0.9853
0.0045,0.9967,0.0567,0.9853
0.0060,0.9962,0.0519,0.9848
0.0067,0.9966,0.0520,0.9853
0.0059,0.9958,0.0580,0.9842
