train_loss,train_accuracy,valid_loss,valid_accuracy
0.4530,0.7920,0.1879,0.9228
0.2867,0.8763,0.1556,0.9380
0.1691,0.9304,0.0968,0.9648
0.1527,0.9331,0.0873,0.9659
0.1536,0.9322,0.1324,0.9475
0.1207,0.9464,0.0770,0.9695
0.1234,0.9522,0.0687,0.9758
0.1110,0.9472,0.0783,0.9695
0.1629,0.9369,0.0912,0.9643
0.1154,0.9470,0.0647,0.9722
0.0935,0.9580,0.0625,0.9758
0.0943,0.9600,0.0659,0.9743
0.0997,0.9560,0.0936,0.9664
0.0962,0.9630,0.0887,0.9622
0.0746,0.9656,0.0698,0.9727
0.0749,0.9694,0.0614,0.9737
0.0800,0.9623,0.0610,0.9753
0.0791,0.9644,0.0550,0.9753
0.0731,0.9686,0.0524,0.9790
0.0814,0.9638,0.0501,0.9753
0.0706,0.9684,0.0530,0.9758
0.0712,0.9694,0.0531,0.9748
0.0657,0.9730,0.0588,0.9727
0.0872,0.9648,0.0590,0.9790
0.0703,0.9699,0.0487,0.9821
0.0617,0.9726,0.0604,0.9779
0.0586,0.9722,0.0412,0.9811
0.0705,0.9723,0.0455,0.9832
0.0616,0.9739,0.0523,0.9753
0.0480,0.9768,0.0517,0.9764
0.0473,0.9778,0.0398,0.9827
0.0857,0.9629,0.0476,0.9779
0.0545,0.9737,0.0459,0.9821
0.0731,0.9690,0.0410,0.9816
0.0503,0.9772,0.0451,0.9827
0.0463,0.9804,0.0620,0.9743
0.0576,0.9746,0.0631,0.9722
0.0512,0.9763,0.0421,0.9842
0.0549,0.9769,0.0470,0.9785
0.0597,0.9731,0.0561,0.9806
0.0495,0.9791,0.0378,0.9858
0.0644,0.9723,0.0490,0.9800
0.0438,0.9779,0.0713,0.9732
0.0454,0.9790,0.0633,0.9737
0.0568,0.9767,0.0589,0.9779
0.0464,0.9809,0.0606,0.9774
0.0477,0.9783,0.0581,0.9753
0.0587,0.9764,0.0644,0.9800
0.0602,0.9742,0.0659,0.9764
0.0366,0.9820,0.0540,0.9827
0.0329,0.9856,0.0473,0.9837
0.0329,0.9866,0.0474,0.9837
0.0360,0.9847,0.0488,0.9827
0.0233,0.9894,0.0495,0.9837
0.0194,0.9927,0.0426,0.9848
0.0265,0.9862,0.0483,0.9832
0.0186,0.9913,0.0448,0.9858
0.0260,0.9903,0.0473,0.9848
0.0203,0.9909,0.0468,0.9853
0.0226,0.9920,0.0465,0.9863
0.0185,0.9915,0.0504,0.9853
0.0196,0.9913,0.0529,0.9842
0.0228,0.9901,0.0486,0.9842
0.0218,0.9909,0.0452,0.9869
0.0198,0.9904,0.0431,0.9879
0.0201,0.9913,0.0422,0.9853
0.0234,0.9912,0.0448,0.9874
0.0135,0.9949,0.0475,0.9853
0.0216,0.9898,0.0465,0.9827
0.0146,0.9939,0.0477,0.9816
0.0171,0.9918,0.0485,0.9842
0.0242,0.9894,0.0492,0.9853
0.0181,0.9913,0.0498,0.9842
0.0299,0.9876,0.0483,0.9858
0.0216,0.9898,0.0468,0.9842
0.0187,0.9916,0.0537,0.9853
0.0183,0.9917,0.0517,0.9842
0.0191,0.9904,0.0557,0.9837
0.0195,0.9911,0.0488,0.9853
0.0140,0.9934,0.0502,0.9848
0.0190,0.9929,0.0505,0.9848
0.0159,0.9946,0.0527,0.9848
0.0121,0.9958,0.0542,0.9848
0.0176,0.9920,0.0575,0.9853
0.0189,0.9918,0.0574,0.9842
0.0117,0.9953,0.0570,0.9848
0.0171,0.9936,0.0538,0.9858
0.0172,0.9916,0.0565,0.9842
0.0123,0.9957,0.0566,0.9842
0.0176,0.9935,0.0565,0.9837
0.0216,0.9925,0.0617,0.9837
0.0171,0.9927,0.0558,0.9848
0.0133,0.9921,0.0495,0.9858
0.0222,0.9931,0.0567,0.9832
0.0194,0.9906,0.0465,0.9869
0.0193,0.9917,0.0515,0.9842
0.0196,0.9931,0.0546,0.9832
0.0205,0.9935,0.0570,0.9863
0.0165,0.9932,0.0548,0.9858
0.0109,0.9957,0.0639,0.9848
