train_loss,train_accuracy,valid_loss,valid_accuracy
0.3307,0.8659,0.1708,0.9181
0.1856,0.9230,0.1427,0.9333
0.1427,0.9359,0.1017,0.9622
0.1373,0.9399,0.0837,0.9643
0.1185,0.9492,0.0969,0.9622
0.1352,0.9415,0.0911,0.9638
0.0887,0.9634,0.0666,0.9764
0.0819,0.9630,0.1003,0.9569
0.0856,0.9609,0.0510,0.9800
0.0735,0.9652,0.0764,0.9727
0.0747,0.9652,0.0673,0.9764
0.0599,0.9723,0.0651,0.9748
0.0899,0.9559,0.0450,0.9816
0.0559,0.9711,0.0509,0.9764
0.0834,0.9643,0.0633,0.9764
0.0499,0.9753,0.0438,0.9800
0.0690,0.9707,0.0542,0.9785
0.0642,0.9693,0.0513,0.9769
0.0474,0.9769,0.0597,0.9743
0.0607,0.9744,0.0435,0.9827
0.0498,0.9762,0.0446,0.9853
0.0476,0.9769,0.0388,0.9853
0.0428,0.9793,0.0578,0.9758
0.0480,0.9773,0.0476,0.9785
0.0534,0.9749,0.0542,0.9743
0.0504,0.9736,0.0375,0.9816
0.0413,0.9782,0.0596,0.9732
0.0753,0.9661,0.0647,0.9753
0.0419,0.9809,0.0556,0.9722
0.0458,0.9786,0.0493,0.9779
0.0335,0.9815,0.0695,0.9701
0.0428,0.9806,0.0992,0.9548
0.0491,0.9802,0.0428,0.9800
0.0374,0.9825,0.0472,0.9785
0.0361,0.9824,0.0421,0.9785
0.0393,0.9799,0.0411,0.9816
0.0402,0.9847,0.0597,0.9743
0.0346,0.9819,0.0309,0.9858
0.0566,0.9748,0.0501,0.9795
0.0323,0.9839,0.0725,0.9648
0.0355,0.9827,0.0619,0.9748
0.0293,0.9841,0.0514,0.9811
0.0513,0.9783,0.0666,0.9737
0.0306,0.9860,0.0649,0.9727
0.0276,0.9856,0.0377,0.9837
0.0287,0.9864,0.0881,0.9664
0.0373,0.9825,0.0746,0.9706
0.0316,0.9841,0.0498,0.9785
0.0352,0.9832,0.0492,0.9743
0.0341,0.9836,0.0368,0.9858
0.0194,0.9895,0.0308,0.9869
0.0181,0.9920,0.0289,0.9863
0.0132,0.9930,0.0291,0.9863
0.0110,0.9949,0.0334,0.9869
0.0117,0.9936,0.0351,0.9863
0.0137,0.9918,0.0337,0.9853
0.0158,0.9903,0.0321,0.9848
0.0086,0.9938,0.0354,0.9842
0.0110,0.9941,0.0323,0.9853
0.0119,0.9939,0.0319,0.9853
0.0113,0.9941,0.0320,0.9853
0.0091,0.9950,0.0327,0.9853
0.0093,0.9955,0.0331,0.9863
0.0087,0.9945,0.0358,0.9869
0.0081,0.9958,0.0304,0.9863
0.0078,0.9957,0.0350,0.9853
0.0102,0.9949,0.0378,0.9837
0.0070,0.9962,0.0355,0.9863
0.0077,0.9963,0.0343,0.9869
0.0075,0.9958,0.0365,0.9874
0.0082,0.9962,0.0309,0.9884
0.0099,0.9957,0.0318,0.9884
0.0099,0.9950,0.0292,0.9890
0.0080,0.9958,0.0370,0.9869
0.0085,0.9955,0.0350,0.9863
0.0077,0.9959,0.0333,0.9879
0.0068,0.9959,0.0320,0.9890
0.0101,0.9964,0.0367,0.9863
0.0090,0.9957,0.0340,0.9869
0.0076,0.9964,0.0320,0.9879
0.0094,0.9952,0.0311,0.9879
0.0050,0.9978,0.0368,0.9858
0.0073,0.9960,0.0413,0.9842
0.0099,0.9962,0.0358,0.9874
0.0087,0.9957,0.0362,0.9858
0.0064,0.9972,0.0419,0.9853
0.0070,0.9968,0.0364,0.9848
0.0046,0.9976,0.0430,0.9848
0.0039,0.9980,0.0498,0.9827
0.0074,0.9964,0.0384,0.9858
0.0059,0.9962,0.0428,0.9858
0.0036,0.9976,0.0423,0.9853
0.0041,0.9974,0.0386,0.9869
0.0094,0.9955,0.0410,0.9863
0.0047,0.9977,0.0422,0.9842
0.0059,0.9969,0.0499,0.9848
0.0053,0.9978,0.0482,0.9827
0.0072,0.9976,0.0448,0.9848
0.0047,0.9973,0.0484,0.9837
0.0065,0.9968,0.0450,0.9853
