train_loss,train_accuracy,valid_loss,valid_accuracy
0.1759,0.9282,0.1239,0.9459
0.1277,0.9530,0.0863,0.9680
0.0799,0.9666,0.0740,0.9727
0.0724,0.9678,0.1352,0.9590
0.0866,0.9632,0.0938,0.9779
0.0877,0.9685,0.4550,0.8655
0.1352,0.9507,0.1039,0.9632
0.0662,0.9724,0.0720,0.9827
0.0379,0.9826,0.0693,0.9732
0.0622,0.9755,0.0876,0.9659
0.0381,0.9820,0.0514,0.9806
0.0319,0.9836,0.0720,0.9779
0.0370,0.9838,0.0523,0.9800
0.0382,0.9822,0.0469,0.9816
0.0262,0.9868,0.0590,0.9811
0.0343,0.9857,0.0840,0.9722
0.0462,0.9794,0.0535,0.9790
0.0250,0.9862,0.0505,0.9827
0.0228,0.9870,0.0592,0.9795
0.0347,0.9855,0.0605,0.9779
0.0374,0.9812,0.0983,0.9743
0.0337,0.9854,0.0883,0.9695
0.0379,0.9818,0.0584,0.9816
0.0172,0.9920,0.0604,0.9816
0.0294,0.9869,0.0720,0.9753
0.0358,0.9834,0.0587,0.9774
0.0211,0.9903,0.0408,0.9827
0.0205,0.9899,0.0686,0.9764
0.0175,0.9908,0.0606,0.9837
0.0154,0.9930,0.0678,0.9837
0.0262,0.9888,0.0599,0.9811
0.0579,0.9813,0.0558,0.9806
0.0249,0.9903,0.0488,0.9827
0.0156,0.9917,0.0532,0.9795
0.0152,0.9918,0.0515,0.9848
0.0095,0.9952,0.0489,0.9837
0.0282,0.9879,0.0623,0.9837
0.0151,0.9922,0.0678,0.9837
0.0251,0.9899,0.0616,0.9764
0.0124,0.9936,0.0690,0.9816
0.0127,0.9940,0.0753,0.9774
0.0192,0.9903,0.0454,0.9837
0.0282,0.9894,0.0784,0.9753
0.0088,0.9947,0.0653,0.9837
0.0072,0.9962,0.0686,0.9816
0.0084,0.9953,0.0549,0.9816
0.0158,0.9929,0.0732,0.9795
0.0210,0.9907,0.1126,0.9743
0.0196,0.9912,0.0535,0.9821
0.0134,0.9930,0.0525,0.9827
0.0087,0.9966,0.0565,0.9827
0.0055,0.9972,0.0540,0.9837
0.0052,0.9971,0.0572,0.9842
0.0044,0.9976,0.0556,0.9848
0.0035,0.9982,0.0508,0.9848
0.0031,0.9982,0.0556,0.9832
0.0025,0.9990,0.0567,0.9842
0.0026,0.9981,0.0547,0.9848
0.0036,0.9981,0.0573,0.9842
0.0019,0.9989,0.0522,0.9848
0.0024,0.9986,0.0586,0.9832
0.0019,0.9987,0.0586,0.9837
0.0017,0.9989,0.0602,0.9821
0.0013,0.9989,0.0554,0.9837
0.0018,0.9991,0.0659,0.9837
0.0015,0.9987,0.0614,0.9842
0.0020,0.9985,0.0716,0.9816
0.0020,0.9987,0.0593,0.9853
0.0008,0.9996,0.0673,0.9848
0.0016,0.9990,0.0709,0.9837
0.0006,0.9995,0.0721,0.9837
0.0010,0.9992,0.0651,0.9842
0.0008,0.9994,0.0726,0.9853
0.0006,0.9996,0.0648,0.9858
0.0017,0.9994,0.0771,0.9853
0.0011,0.9989,0.0749,0.9837
0.0009,0.9994,0.0711,0.9863
0.0007,0.9997,0.0680,0.9858
0.0006,0.9996,0.0866,0.9832
0.0008,0.9995,0.0665,0.9858
0.0009,0.9999,0.0703,0.9858
0.0009,0.9995,0.0637,0.9869
0.0003,1.0000,0.0687,0.9869
0.0015,0.9992,0.0792,0.9858
0.0010,0.9986,0.0699,0.9863
0.0008,0.9994,0.0735,0.9874
0.0002,0.9999,0.0766,0.9869
0.0003,0.9999,0.0716,0.9874
0.0006,0.9996,0.0764,0.9863
0.0009,0.9997,0.0710,0.9869
0.0004,0.9999,0.0716,0.9879
0.0005,0.9999,0.0866,0.9853
0.0007,0.9994,0.0678,0.9884
0.0002,0.9997,0.0759,0.9879
0.0007,0.9996,0.0678,0.9863
0.0026,0.9992,0.0847,0.9848
0.0022,0.9989,0.0826,0.9816
0.0009,0.9995,0.0799,0.9827
0.0006,0.9996,0.0771,0.9842
0.0003,0.9999,0.0908,0.9827
