train_loss,train_accuracy,valid_loss,valid_accuracy
0.3786,0.8104,0.1795,0.9207
0.1844,0.9232,0.1604,0.9364
0.1627,0.9311,0.0964,0.9548
0.1564,0.9379,0.0807,0.9638
0.1255,0.9492,0.0949,0.9559
0.1348,0.9441,0.0706,0.9701
0.1141,0.9531,0.0825,0.9569
0.1263,0.9480,0.0706,0.9727
0.1044,0.9582,0.0685,0.9701
0.1071,0.9526,0.0713,0.9701
0.1008,0.9549,0.1067,0.9517
0.1064,0.9547,0.0642,0.9732
0.0931,0.9630,0.0794,0.9685
0.1000,0.9550,0.0620,0.9769
0.0875,0.9638,0.0891,0.9716
0.0865,0.9624,0.0609,0.9711
0.0812,0.9637,0.0550,0.9769
0.0728,0.9662,0.0750,0.9769
0.0859,0.9635,0.0649,0.9769
0.0660,0.9708,0.0559,0.9732
0.0864,0.9620,0.0677,0.9716
0.0793,0.9662,0.0792,0.9764
0.0723,0.9681,0.0520,0.9811
0.0646,0.9703,0.0527,0.9774
0.0601,0.9730,0.0591,0.9758
0.0779,0.9699,0.0518,0.9806
0.0714,0.9713,0.1097,0.9575
0.0788,0.9658,0.0675,0.9695
0.0689,0.9666,0.0858,0.9690
0.0508,0.9769,0.0492,0.9785
0.0596,0.9749,0.0624,0.9727
0.0606,0.9751,0.0628,0.9785
0.0566,0.9760,0.0515,0.9753
0.0450,0.9802,0.0593,0.9711
0.0764,0.9693,0.0606,0.9774
0.0669,0.9722,0.0788,0.9732
0.0523,0.9750,0.0533,0.9737
0.0588,0.9733,0.0517,0.9816
0.0511,0.9777,0.0616,0.9774
0.0508,0.9788,0.0697,0.9795
0.0488,0.9751,0.0716,0.9716
0.0545,0.9758,0.0620,0.9774
0.0457,0.9793,0.0623,0.9753
0.0749,0.9712,0.0558,0.9779
0.0521,0.9765,0.0607,0.9832
0.0575,0.9783,0.0599,0.9795
0.0529,0.9765,0.0550,0.9806
0.0422,0.9823,0.0581,0.9774
0.0479,0.9791,0.0815,0.9727
0.0489,0.9793,0.0552,0.9764
0.0354,0.9858,0.0456,0.9821
0.0259,0.9887,0.0475,0.9811
0.0361,0.9828,0.0470,0.9811
0.0327,0.9866,0.0478,0.9790
0.0285,0.9870,0.0458,0.9811
0.0242,0.9889,0.0491,0.9816
0.0229,0.9885,0.0531,0.9816
0.0319,0.9871,0.0553,0.9827
0.0230,0.9898,0.0560,0.9827
0.0231,0.9895,0.0625,0.9800
0.0233,0.9870,0.0565,0.9832
0.0329,0.9876,0.0539,0.9837
0.0229,0.9893,0.0534,0.9827
0.0282,0.9878,0.0487,0.9832
0.0277,0.9894,0.0513,0.9821
0.0299,0.9870,0.0489,0.9858
0.0260,0.9869,0.0478,0.9832
0.0204,0.9921,0.0534,0.9837
0.0288,0.9874,0.0514,0.9853
0.0245,0.9892,0.0509,0.9853
0.0278,0.9883,0.0543,0.9842
0.0219,0.9907,0.0514,0.9863
0.0294,0.9890,0.0521,0.9832
0.0286,0.9879,0.0545,0.9842
0.0331,0.9869,0.0539,0.9832
0.0250,0.9872,0.0551,0.9816
0.0220,0.9926,0.0549,0.9842
0.0282,0.9884,0.0529,0.9842
0.0240,0.9895,0.0508,0.9842
0.0255,0.9893,0.0510,0.9832
0.0192,0.9906,0.0521,0.9832
0.0275,0.9887,0.0526,0.9842
0.0252,0.9906,0.0515,0.9848
0.0210,0.9920,0.0554,0.9848
0.0145,0.9930,0.0610,0.9848
0.0159,0.9941,0.0617,0.9821
0.0247,0.9892,0.0608,0.9816
0.0232,0.9898,0.0577,0.9827
0.0290,0.9892,0.0566,0.9832
0.0190,0.9917,0.0592,0.9837
0.0255,0.9892,0.0511,0.9832
0.0153,0.9938,0.0539,0.9842
0.0213,0.9909,0.0578,0.9827
0.0180,0.9936,0.0586,0.9853
0.0187,0.9917,0.0566,0.9848
0.0201,0.9922,0.0542,0.9853
0.0216,0.9895,0.0575,0.9858
0.0207,0.9911,0.0548,0.9837
0.0166,0.9929,0.0550,0.9837
0.0207,0.9920,0.0550,0.9832
