train_loss,train_accuracy,valid_loss,valid_accuracy
0.3673,0.8484,0.1449,0.9359
0.2127,0.9068,0.1528,0.9380
0.1697,0.9255,0.1398,0.9433
0.1533,0.9379,0.0769,0.9690
0.1706,0.9272,0.0911,0.9627
0.1371,0.9393,0.1099,0.9501
0.1135,0.9537,0.0744,0.9664
0.1355,0.9431,0.0747,0.9716
0.1344,0.9508,0.1820,0.9375
0.1464,0.9393,0.0796,0.9680
0.1022,0.9551,0.0780,0.9664
0.0951,0.9601,0.0585,0.9790
0.0778,0.9649,0.0518,0.9785
0.0824,0.9651,0.0721,0.9695
0.0857,0.9648,0.0607,0.9800
0.0971,0.9580,0.0672,0.9711
0.0814,0.9647,0.0549,0.9769
0.0687,0.9717,0.0362,0.9848
0.0781,0.9674,0.0794,0.9659
0.0794,0.9643,0.0466,0.9811
0.0853,0.9598,0.0558,0.9795
0.0773,0.9642,0.0482,0.9790
0.0756,0.9674,0.0486,0.9811
0.0954,0.9596,0.0521,0.9795
0.0543,0.9755,0.0445,0.9779
0.0727,0.9667,0.0442,0.9806
0.0584,0.9717,0.0552,0.9774
0.0633,0.9703,0.0470,0.9832
0.0480,0.9758,0.0486,0.9774
0.0642,0.9725,0.0542,0.9758
0.0608,0.9725,0.0561,0.9753
0.0703,0.9686,0.0793,0.9727
0.0558,0.9742,0.0372,0.9800
0.0626,0.9705,0.0337,0.9848
0.0598,0.9746,0.0595,0.9727
0.0691,0.9700,0.0336,0.9821
0.0454,0.9793,0.0462,0.9800
0.0572,0.9745,0.0445,0.9806
0.0667,0.9682,0.0648,0.9743
0.0618,0.9726,0.0484,0.9758
0.0502,0.9735,0.0685,0.9711
0.0606,0.9742,0.0547,0.9748
0.0503,0.9774,0.0372,0.9858
0.0539,0.9765,0.0653,0.9769
0.0754,0.9666,0.0775,0.9743
0.0574,0.9730,0.0607,0.9753
0.0506,0.9763,0.0480,0.9821
0.0421,0.9772,0.0534,0.9827
0.0505,0.9788,0.0509,0.9774
0.0409,0.9827,0.0442,0.9800
0.0307,0.9871,0.0363,0.9816
0.0264,0.9888,0.0389,0.9811
0.0346,0.9852,0.0350,0.9842
0.0286,0.9878,0.0351,0.9832
0.0187,0.9909,0.0357,0.9858
0.0197,0.9895,0.0341,0.9853
0.0247,0.9893,0.0336,0.9848
0.0271,0.9899,0.0320,0.9858
0.0260,0.9889,0.0327,0.9863
0.0197,0.9913,0.0286,0.9869
0.0261,0.9885,0.0325,0.9863
0.0186,0.9918,0.0332,0.9853
0.0174,0.9941,0.0347,0.9869
0.0160,0.9929,0.0341,0.9853
0.0181,0.9906,0.0435,0.9832
0.0218,0.9906,0.0359,0.9858
0.0262,0.9884,0.0347,0.9858
0.0240,0.9909,0.0355,0.9853
0.0214,0.9915,0.0348,0.9863
0.0202,0.9915,0.0349,0.9842
0.0246,0.9893,0.0348,0.9853
0.0208,0.9921,0.0343,0.9853
0.0190,0.9902,0.0360,0.9853
0.0281,0.9876,0.0392,0.9848
0.0208,0.9903,0.0353,0.9863
0.0189,0.9921,0.0384,0.9848
0.0122,0.9943,0.0388,0.9842
0.0158,0.9920,0.0398,0.9837
0.0198,0.9917,0.0385,0.9853
0.0256,0.9908,0.0387,0.9842
0.0174,0.9911,0.0392,0.9853
0.0187,0.9931,0.0411,0.9853
0.0190,0.9922,0.0384,0.9827
0.0122,0.9964,0.0402,0.9848
0.0190,0.9930,0.0511,0.9816
0.0178,0.9935,0.0405,0.9837
0.0209,0.9921,0.0395,0.9842
0.0166,0.9926,0.0379,0.9853
0.0176,0.9935,0.0418,0.9837
0.0168,0.9943,0.0449,0.9842
0.0224,0.9920,0.0441,0.9837
0.0258,0.9906,0.0513,0.9842
0.0144,0.9941,0.0436,0.9832
0.0212,0.9921,0.0480,0.9842
0.0165,0.9939,0.0389,0.9853
0.0165,0.9911,0.0513,0.9842
0.0164,0.9940,0.0464,0.9853
0.0208,0.9921,0.0493,0.9853
0.0160,0.9945,0.0447,0.9848
0.0125,0.9949,0.0461,0.9837
