train_loss,train_accuracy,valid_loss,valid_accuracy
0.3278,0.8569,0.1774,0.9301
0.2146,0.9144,0.1139,0.9459
0.1514,0.9346,0.1018,0.9538
0.1391,0.9454,0.1150,0.9464
0.1290,0.9438,0.0809,0.9648
0.1462,0.9397,0.1832,0.9296
0.1281,0.9499,0.0661,0.9716
0.1052,0.9572,0.2207,0.9065
0.1034,0.9547,0.0772,0.9706
0.0998,0.9579,0.0752,0.9648
0.0943,0.9586,0.0752,0.9711
0.0966,0.9535,0.0651,0.9711
0.0819,0.9648,0.0682,0.9774
0.0802,0.9651,0.0620,0.9769
0.0714,0.9665,0.0727,0.9727
0.0782,0.9666,0.0723,0.9680
0.0736,0.9693,0.0743,0.9695
0.0747,0.9676,0.0731,0.9748
0.0699,0.9707,0.0711,0.9743
0.0850,0.9620,0.0644,0.9727
0.0622,0.9737,0.0623,0.9727
0.0679,0.9689,0.0590,0.9716
0.0686,0.9690,0.0740,0.9785
0.0680,0.9691,0.0603,0.9743
0.0638,0.9751,0.0679,0.9706
0.0595,0.9719,0.0604,0.9790
0.0549,0.9751,0.0546,0.9769
0.0774,0.9656,0.0551,0.9779
0.0603,0.9728,0.0694,0.9764
0.0585,0.9750,0.0619,0.9806
0.0382,0.9805,0.0525,0.9821
0.0580,0.9745,0.0582,0.9774
0.0556,0.9749,0.0651,0.9769
0.0807,0.9652,0.0640,0.9732
0.0631,0.9733,0.0523,0.9800
0.0614,0.9740,0.0591,0.9764
0.0462,0.9819,0.0541,0.9790
0.0568,0.9790,0.0582,0.9769
0.0663,0.9717,0.0778,0.9737
0.0437,0.9795,0.0567,0.9795
0.0482,0.9777,0.0729,0.9716
0.0512,0.9805,0.0689,0.9774
0.0489,0.9772,0.0582,0.9764
0.0514,0.9759,0.0525,0.9832
0.0399,0.9818,0.0960,0.9653
0.0490,0.9792,0.0588,0.9806
0.0451,0.9796,0.0560,0.9769
0.0447,0.9801,0.0564,0.9795
0.0409,0.9830,0.0577,0.9785
0.0407,0.9825,0.0593,0.9779
0.0364,0.9851,0.0540,0.9816
0.0304,0.9866,0.0561,0.9816
0.0316,0.9867,0.0584,0.9816
0.0253,0.9871,0.0593,0.9816
0.0323,0.9855,0.0615,0.9816
0.0264,0.9865,0.0579,0.9827
0.0201,0.9904,0.0601,0.9821
0.0218,0.9926,0.0618,0.9832
0.0243,0.9894,0.0628,0.9816
0.0226,0.9907,0.0610,0.9816
0.0240,0.9904,0.0545,0.9832
0.0297,0.9875,0.0538,0.9832
0.0164,0.9918,0.0570,0.9837
0.0268,0.9885,0.0610,0.9832
0.0229,0.9915,0.0606,0.9832
0.0231,0.9902,0.0619,0.9853
0.0220,0.9911,0.0584,0.9837
0.0228,0.9906,0.0654,0.9837
0.0185,0.9913,0.0539,0.9837
0.0187,0.9918,0.0550,0.9853
0.0171,0.9926,0.0583,0.9842
0.0175,0.9911,0.0575,0.9827
0.0216,0.9902,0.0579,0.9837
0.0178,0.9923,0.0608,0.9837
0.0240,0.9913,0.0609,0.9853
0.0179,0.9926,0.0589,0.9837
0.0164,0.9931,0.0614,0.9832
0.0240,0.9931,0.0605,0.9816
0.0246,0.9894,0.0615,0.9821
0.0233,0.9913,0.0568,0.9821
0.0153,0.9927,0.0538,0.9842
0.0144,0.9944,0.0607,0.9837
0.0123,0.9940,0.0634,0.9821
0.0290,0.9872,0.0569,0.9821
0.0161,0.9940,0.0582,0.9821
0.0225,0.9913,0.0622,0.9816
0.0217,0.9912,0.0622,0.9832
0.0162,0.9918,0.0665,0.9848
0.0124,0.9950,0.0663,0.9827
0.0189,0.9927,0.0685,0.9832
0.0221,0.9899,0.0631,0.9827
0.0179,0.9921,0.0610,0.9832
0.0226,0.9901,0.0641,0.9848
0.0131,0.9940,0.0700,0.9842
0.0221,0.9887,0.0724,0.9842
0.0237,0.9920,0.0658,0.9832
0.0147,0.9952,0.0651,0.9816
0.0153,0.9945,0.0600,0.9832
0.0202,0.9908,0.0583,0.9811
0.0142,0.9939,0.0629,0.9827
