train_loss,train_accuracy,valid_loss,valid_accuracy
0.3201,0.8499,0.1413,0.9386
0.2177,0.9046,0.1508,0.9375
0.1362,0.9375,0.1127,0.9533
0.1309,0.9374,0.1699,0.9328
0.1072,0.9503,0.1518,0.9428
0.1007,0.9518,0.0797,0.9706
0.0874,0.9602,0.1009,0.9585
0.0899,0.9601,0.1724,0.9254
0.0835,0.9584,0.1401,0.9527
0.0979,0.9549,0.0548,0.9774
0.0782,0.9631,0.0666,0.9732
0.0803,0.9633,0.0539,0.9737
0.0666,0.9691,0.0672,0.9758
0.0663,0.9698,0.0549,0.9785
0.0537,0.9741,0.0618,0.9727
0.0775,0.9658,0.0659,0.9774
0.0977,0.9568,0.0548,0.9764
0.0633,0.9723,0.0457,0.9779
0.0588,0.9735,0.0430,0.9800
0.0497,0.9769,0.0509,0.9779
0.0510,0.9745,0.0435,0.9821
0.0440,0.9787,0.0525,0.9795
0.0550,0.9737,0.0487,0.9779
0.0653,0.9740,0.1698,0.9449
0.0535,0.9767,0.0349,0.9821
0.0520,0.9751,0.0447,0.9853
0.0320,0.9839,0.0309,0.9895
0.0508,0.9763,0.0476,0.9779
0.0458,0.9763,0.0634,0.9764
0.0325,0.9832,0.0377,0.9837
0.0385,0.9814,0.0752,0.9638
0.0346,0.9820,0.0859,0.9617
0.0591,0.9744,0.0597,0.9774
0.0487,0.9770,0.0660,0.9722
0.0476,0.9792,0.0447,0.9785
0.0276,0.9850,0.0491,0.9848
0.0372,0.9820,0.0714,0.9711
0.0282,0.9875,0.0379,0.9848
0.0459,0.9787,0.0523,0.9758
0.0322,0.9821,0.0474,0.9832
0.0325,0.9842,0.0451,0.9795
0.0409,0.9797,0.0849,0.9669
0.0402,0.9807,0.0425,0.9863
0.0309,0.9848,0.0661,0.9764
0.0399,0.9815,0.0362,0.9827
0.0365,0.9837,0.0330,0.9837
0.0267,0.9837,0.0384,0.9806
0.0297,0.9839,0.0460,0.9821
0.0306,0.9852,0.0425,0.9827
0.0323,0.9844,0.0455,0.9806
0.0216,0.9897,0.0401,0.9832
0.0176,0.9918,0.0394,0.9837
0.0145,0.9923,0.0378,0.9842
0.0135,0.9940,0.0378,0.9827
0.0133,0.9927,0.0382,0.9816
0.0092,0.9949,0.0391,0.9827
0.0114,0.9949,0.0421,0.9806
0.0083,0.9953,0.0417,0.9832
0.0086,0.9948,0.0404,0.9832
0.0130,0.9948,0.0451,0.9816
0.0084,0.9957,0.0460,0.9816
0.0099,0.9962,0.0428,0.9832
0.0082,0.9964,0.0400,0.9832
0.0100,0.9953,0.0411,0.9827
0.0087,0.9960,0.0442,0.9811
0.0075,0.9957,0.0554,0.9811
0.0105,0.9943,0.0443,0.9827
0.0081,0.9944,0.0445,0.9811
0.0091,0.9944,0.0447,0.9827
0.0052,0.9968,0.0435,0.9816
0.0087,0.9952,0.0442,0.9837
0.0057,0.9972,0.0435,0.9821
0.0078,0.9957,0.0448,0.9832
0.0066,0.9969,0.0422,0.9827
0.0057,0.9967,0.0446,0.9816
0.0077,0.9966,0.0460,0.9827
0.0044,0.9971,0.0482,0.9832
0.0089,0.9952,0.0481,0.9837
0.0063,0.9968,0.0557,0.9821
0.0069,0.9955,0.0518,0.9832
0.0066,0.9966,0.0537,0.9795
0.0070,0.9964,0.0571,0.9811
0.0035,0.9981,0.0572,0.9827
0.0070,0.9963,0.0553,0.9827
0.0067,0.9966,0.0500,0.9827
0.0094,0.9953,0.0477,0.9832
0.0038,0.9981,0.0550,0.9816
0.0054,0.9978,0.0517,0.9842
0.0059,0.9976,0.0493,0.9842
0.0059,0.9972,0.0502,0.9832
0.0053,0.9980,0.0587,0.9832
0.0058,0.9977,0.0587,0.9821
0.0060,0.9958,0.0503,0.9821
0.0047,0.9977,0.0514,0.9800
0.0051,0.9972,0.0501,0.9827
0.0054,0.9976,0.0527,0.9827
0.0069,0.9968,0.0482,0.9842
0.0060,0.9971,0.0509,0.9837
0.0056,0.9973,0.0471,0.9848
0.0071,0.9969,0.0452,0.9853
