train_loss,train_accuracy,valid_loss,valid_accuracy
0.2241,0.9069,0.1124,0.9590
0.1687,0.9304,0.2450,0.9207
0.1226,0.9507,0.1248,0.9680
0.0971,0.9592,0.1049,0.9706
0.1062,0.9586,0.0652,0.9758
0.0873,0.9614,0.1026,0.9690
0.1018,0.9549,0.0960,0.9727
0.0952,0.9597,0.0849,0.9722
0.1240,0.9584,0.1303,0.9569
0.0829,0.9621,0.1003,0.9732
0.0715,0.9713,0.0674,0.9779
0.0503,0.9767,0.0592,0.9806
0.0611,0.9722,0.0639,0.9827
0.0714,0.9676,0.0625,0.9795
0.0657,0.9679,0.0652,0.9753
0.0635,0.9732,0.1081,0.9659
0.0651,0.9714,0.0727,0.9769
0.0671,0.9722,0.0743,0.9790
0.0596,0.9735,0.0967,0.9743
0.0505,0.9773,0.0600,0.9837
0.0469,0.9800,0.0825,0.9769
0.0479,0.9806,0.0896,0.9774
0.0528,0.9787,0.0660,0.9800
0.0483,0.9787,0.0583,0.9837
0.0385,0.9839,0.0906,0.9732
0.0559,0.9736,0.0585,0.9806
0.0410,0.9800,0.0718,0.9790
0.0335,0.9858,0.0505,0.9790
0.0501,0.9765,0.0584,0.9774
0.0416,0.9818,0.0655,0.9758
0.0359,0.9839,0.0500,0.9848
0.0376,0.9830,0.0889,0.9722
0.0343,0.9829,0.0501,0.9832
0.0455,0.9797,0.0733,0.9727
0.0465,0.9819,0.0725,0.9800
0.0407,0.9842,0.0443,0.9869
0.0365,0.9824,0.0484,0.9816
0.0295,0.9871,0.0425,0.9869
0.0424,0.9811,0.0561,0.9795
0.0402,0.9830,0.0665,0.9806
0.0513,0.9830,0.0651,0.9753
0.0290,0.9856,0.0554,0.9842
0.0381,0.9857,0.0557,0.9811
0.0332,0.9837,0.0513,0.9842
0.0310,0.9843,0.0491,0.9821
0.0267,0.9890,0.0843,0.9790
0.0355,0.9844,0.0656,0.9811
0.0234,0.9878,0.0701,0.9769
0.0336,0.9871,0.0641,0.9842
0.0378,0.9869,0.0554,0.9832
0.0175,0.9909,0.0425,0.9869
0.0180,0.9915,0.0455,0.9869
0.0149,0.9929,0.0469,0.9853
0.0116,0.9949,0.0490,0.9853
0.0112,0.9940,0.0486,0.9848
0.0130,0.9931,0.0441,0.9869
0.0148,0.9909,0.0464,0.9863
0.0126,0.9935,0.0454,0.9858
0.0103,0.9950,0.0472,0.9869
0.0143,0.9940,0.0443,0.9863
0.0098,0.9950,0.0499,0.9863
0.0097,0.9954,0.0462,0.9869
0.0103,0.9963,0.0512,0.9869
0.0124,0.9934,0.0523,0.9853
0.0137,0.9943,0.0418,0.9863
0.0116,0.9948,0.0553,0.9842
0.0074,0.9964,0.0451,0.9858
0.0095,0.9972,0.0448,0.9869
0.0145,0.9935,0.0479,0.9874
0.0132,0.9949,0.0469,0.9869
0.0142,0.9926,0.0444,0.9874
0.0083,0.9959,0.0432,0.9874
0.0082,0.9958,0.0533,0.9853
0.0095,0.9938,0.0502,0.9869
0.0071,0.9962,0.0561,0.9848
0.0101,0.9949,0.0455,0.9858
0.0049,0.9974,0.0505,0.9874
0.0085,0.9957,0.0525,0.9863
0.0085,0.9960,0.0443,0.9863
0.0062,0.9966,0.0520,0.9853
0.0054,0.9964,0.0509,0.9863
0.0105,0.9964,0.0448,0.9869
0.0066,0.9972,0.0488,0.9874
0.0111,0.9958,0.0445,0.9874
0.0082,0.9962,0.0523,0.9863
0.0091,0.9954,0.0503,0.9869
0.0059,0.9973,0.0534,0.9858
0.0096,0.9968,0.0497,0.9869
0.0125,0.9932,0.0493,0.9863
0.0065,0.9969,0.0477,0.9869
0.0037,0.9986,0.0635,0.9853
0.0126,0.9948,0.0520,0.9853
0.0068,0.9958,0.0633,0.9837
0.0063,0.9972,0.0588,0.9853
0.0081,0.9952,0.0573,0.9858
0.0099,0.9964,0.0576,0.9869
0.0103,0.9969,0.0535,0.9879
0.0063,0.9972,0.0603,0.9858
0.0081,0.9952,0.0622,0.9853
0.0060,0.9966,0.0509,0.9869
