train_loss,train_accuracy,valid_loss,valid_accuracy
0.2044,0.9114,0.1161,0.9506
0.1051,0.9542,0.1161,0.9543
0.0873,0.9640,0.1465,0.9470
0.0993,0.9605,0.0707,0.9685
0.0782,0.9660,0.0853,0.9732
0.0542,0.9734,0.1099,0.9601
0.0943,0.9585,0.0904,0.9627
0.0716,0.9669,0.0559,0.9769
0.0472,0.9753,0.0590,0.9779
0.0557,0.9753,0.0614,0.9743
0.0337,0.9822,0.0694,0.9685
0.0615,0.9736,0.0722,0.9695
0.0372,0.9832,0.0508,0.9821
0.0592,0.9744,0.0980,0.9680
0.0422,0.9783,0.0751,0.9769
0.0475,0.9766,0.0700,0.9758
0.0387,0.9796,0.0495,0.9821
0.0400,0.9824,0.0615,0.9753
0.0276,0.9864,0.0692,0.9727
0.0225,0.9870,0.0894,0.9737
0.0267,0.9880,0.0685,0.9732
0.0213,0.9879,0.0621,0.9795
0.0207,0.9882,0.0623,0.9748
0.0457,0.9812,0.1352,0.9648
0.0288,0.9842,0.0690,0.9806
0.0378,0.9817,0.0797,0.9680
0.0199,0.9880,0.1006,0.9743
0.0160,0.9894,0.0963,0.9737
0.0187,0.9901,0.0605,0.9774
0.0242,0.9889,0.0702,0.9748
0.0525,0.9803,0.1364,0.9538
0.0429,0.9803,0.0675,0.9790
0.0207,0.9896,0.0610,0.9811
0.0267,0.9866,0.0929,0.9632
0.0262,0.9883,0.0644,0.9779
0.0179,0.9899,0.0730,0.9758
0.0207,0.9893,0.0712,0.9795
0.0203,0.9894,0.0591,0.9785
0.0240,0.9903,0.1007,0.9648
0.0331,0.9866,0.0843,0.9769
0.0252,0.9866,0.0561,0.9816
0.0139,0.9910,0.0811,0.9790
0.0201,0.9910,0.1043,0.9764
0.0184,0.9904,0.0584,0.9816
0.0109,0.9938,0.0680,0.9790
0.0095,0.9940,0.0826,0.9764
0.0223,0.9911,0.1370,0.9664
0.0300,0.9854,0.0704,0.9795
0.0117,0.9950,0.0879,0.9821
0.0116,0.9943,0.0888,0.9785
0.0092,0.9955,0.0820,0.9800
0.0058,0.9966,0.0791,0.9800
0.0055,0.9967,0.0764,0.9827
0.0047,0.9968,0.0759,0.9806
0.0062,0.9959,0.0748,0.9827
0.0052,0.9967,0.0747,0.9816
0.0024,0.9982,0.0767,0.9816
0.0034,0.9976,0.0849,0.9816
0.0039,0.9981,0.0791,0.9811
0.0036,0.9977,0.0856,0.9816
0.0026,0.9981,0.0867,0.9811
0.0035,0.9980,0.0810,0.9821
0.0020,0.9990,0.0860,0.9821
0.0036,0.9981,0.0802,0.9811
0.0023,0.9980,0.0738,0.9832
0.0012,0.9987,0.0801,0.9827
0.0027,0.9980,0.0786,0.9842
0.0021,0.9980,0.0857,0.9816
0.0016,0.9987,0.0806,0.9842
0.0020,0.9985,0.0772,0.9837
0.0045,0.9975,0.0660,0.9848
0.0025,0.9985,0.0730,0.9837
0.0020,0.9985,0.0694,0.9837
0.0020,0.9987,0.0751,0.9837
0.0018,0.9986,0.0782,0.9811
0.0014,0.9994,0.0873,0.9811
0.0013,0.9994,0.0919,0.9811
0.0012,0.9992,0.0881,0.9800
0.0021,0.9990,0.0841,0.9816
0.0022,0.9985,0.0766,0.9811
0.0040,0.9968,0.0626,0.9837
0.0023,0.9994,0.0693,0.9837
0.0020,0.9989,0.0674,0.9848
0.0027,0.9986,0.0676,0.9837
0.0014,0.9995,0.0704,0.9853
0.0010,0.9994,0.0726,0.9858
0.0014,0.9990,0.0748,0.9858
0.0013,0.9990,0.0789,0.9832
0.0021,0.9985,0.0815,0.9858
0.0012,0.9995,0.0911,0.9853
0.0007,0.9995,0.0961,0.9848
0.0011,0.9990,0.0932,0.9832
0.0021,0.9987,0.0884,0.9837
0.0012,0.9990,0.0911,0.9832
0.0014,0.9991,0.0875,0.9848
0.0008,0.9995,0.0963,0.9821
0.0011,0.9996,0.0786,0.9858
0.0006,0.9996,0.0895,0.9848
0.0015,0.9983,0.0875,0.9842
0.0011,0.9991,0.0908,0.9832
