train_loss,train_accuracy,valid_loss,valid_accuracy
0.2205,0.9084,0.1302,0.9464
0.1515,0.9346,0.1185,0.9501
0.1303,0.9472,0.0983,0.9674
0.1177,0.9515,0.0883,0.9664
0.0981,0.9572,0.0747,0.9711
0.0859,0.9621,0.0859,0.9680
0.0859,0.9592,0.0615,0.9743
0.0778,0.9642,0.1041,0.9632
0.0731,0.9661,0.0720,0.9743
0.0755,0.9642,0.0607,0.9790
0.0838,0.9642,0.0694,0.9769
0.0546,0.9707,0.0563,0.9758
0.0562,0.9712,0.0927,0.9685
0.0722,0.9694,0.1160,0.9643
0.0628,0.9727,0.0816,0.9664
0.0599,0.9693,0.0618,0.9732
0.0702,0.9725,0.0846,0.9706
0.0553,0.9756,0.0968,0.9716
0.0463,0.9777,0.0812,0.9779
0.0419,0.9797,0.0559,0.9764
0.0413,0.9787,0.0756,0.9774
0.0401,0.9801,0.0725,0.9758
0.0490,0.9745,0.0655,0.9769
0.0433,0.9782,0.0776,0.9764
0.0516,0.9787,0.0636,0.9769
0.0425,0.9773,0.0892,0.9737
0.0573,0.9756,0.0773,0.9732
0.0341,0.9800,0.0596,0.9800
0.0607,0.9713,0.0453,0.9837
0.0347,0.9833,0.0618,0.9785
0.0355,0.9805,0.0666,0.9779
0.0379,0.9813,0.0620,0.9764
0.0305,0.9834,0.0652,0.9748
0.0505,0.9740,0.0745,0.9732
0.0364,0.9813,0.1110,0.9701
0.0263,0.9871,0.0509,0.9827
0.0674,0.9748,0.0687,0.9764
0.0371,0.9813,0.0810,0.9821
0.0274,0.9866,0.1012,0.9706
0.0238,0.9865,0.0849,0.9711
0.0377,0.9832,0.0529,0.9764
0.0261,0.9871,0.0476,0.9811
0.0315,0.9844,0.0642,0.9732
0.0230,0.9878,0.1033,0.9711
0.0379,0.9823,0.0689,0.9737
0.0315,0.9851,0.0475,0.9816
0.0335,0.9846,0.0635,0.9748
0.0369,0.9802,0.0952,0.9648
0.0318,0.9843,0.0509,0.9806
0.0258,0.9872,0.0547,0.9779
0.0160,0.9930,0.0520,0.9800
0.0141,0.9923,0.0497,0.9785
0.0157,0.9906,0.0404,0.9800
0.0184,0.9895,0.0455,0.9790
0.0126,0.9927,0.0417,0.9816
0.0130,0.9934,0.0448,0.9821
0.0102,0.9935,0.0400,0.9827
0.0109,0.9929,0.0366,0.9837
0.0111,0.9922,0.0475,0.9800
0.0088,0.9945,0.0456,0.9806
0.0131,0.9935,0.0460,0.9795
0.0139,0.9938,0.0402,0.9832
0.0087,0.9944,0.0381,0.9837
0.0093,0.9927,0.0422,0.9811
0.0077,0.9941,0.0472,0.9811
0.0106,0.9930,0.0423,0.9821
0.0113,0.9939,0.0417,0.9811
0.0096,0.9941,0.0409,0.9832
0.0080,0.9935,0.0452,0.9811
0.0095,0.9957,0.0428,0.9832
0.0066,0.9960,0.0385,0.9827
0.0055,0.9972,0.0429,0.9811
0.0062,0.9959,0.0416,0.9832
0.0074,0.9964,0.0433,0.9816
0.0099,0.9944,0.0475,0.9816
0.0058,0.9962,0.0545,0.9800
0.0075,0.9948,0.0414,0.9848
0.0070,0.9953,0.0379,0.9848
0.0079,0.9948,0.0476,0.9832
0.0067,0.9969,0.0468,0.9837
0.0070,0.9959,0.0375,0.9858
0.0073,0.9963,0.0456,0.9832
0.0051,0.9968,0.0434,0.9848
0.0045,0.9972,0.0498,0.9842
0.0054,0.9959,0.0482,0.9848
0.0067,0.9949,0.0487,0.9832
0.0037,0.9971,0.0478,0.9853
0.0061,0.9946,0.0528,0.9842
0.0050,0.9968,0.0429,0.9848
0.0052,0.9972,0.0593,0.9806
0.0056,0.9964,0.0451,0.9842
0.0106,0.9949,0.0456,0.9811
0.0097,0.9945,0.0457,0.9837
0.0097,0.9936,0.0487,0.9806
0.0046,0.9969,0.0425,0.9832
0.0077,0.9962,0.0474,0.9821
0.0044,0.9967,0.0472,0.9811
0.0065,0.9967,0.0521,0.9821
0.0055,0.9966,0.0603,0.9785
0.0049,0.9976,0.0569,0.9806
