train_loss,train_accuracy,valid_loss,valid_accuracy
0.3417,0.8456,0.1382,0.9359
0.2217,0.9046,0.1384,0.9470
0.1438,0.9371,0.0930,0.9596
0.1386,0.9424,0.0775,0.9690
0.1385,0.9416,0.1233,0.9543
0.1232,0.9466,0.0665,0.9748
0.1105,0.9495,0.0668,0.9706
0.1223,0.9492,0.0609,0.9737
0.0894,0.9620,0.0560,0.9769
0.0980,0.9541,0.0592,0.9737
0.0739,0.9668,0.0633,0.9701
0.0900,0.9644,0.0683,0.9711
0.0883,0.9637,0.1202,0.9475
0.0825,0.9614,0.0600,0.9769
0.0749,0.9643,0.0421,0.9842
0.0675,0.9708,0.0619,0.9790
0.0767,0.9680,0.0672,0.9722
0.0725,0.9680,0.0427,0.9800
0.0515,0.9759,0.0642,0.9743
0.0817,0.9652,0.0563,0.9758
0.0610,0.9731,0.0616,0.9779
0.0655,0.9705,0.0509,0.9811
0.0690,0.9702,0.0558,0.9790
0.0746,0.9684,0.0454,0.9816
0.0551,0.9754,0.0415,0.9848
0.0520,0.9755,0.0515,0.9753
0.0626,0.9730,0.0903,0.9674
0.0654,0.9744,0.0475,0.9842
0.0751,0.9670,0.0512,0.9764
0.0542,0.9774,0.0625,0.9737
0.0446,0.9776,0.0333,0.9827
0.0450,0.9791,0.0585,0.9701
0.0591,0.9759,0.0464,0.9795
0.0468,0.9802,0.0556,0.9748
0.0598,0.9733,0.0506,0.9785
0.0770,0.9695,0.0406,0.9806
0.0542,0.9772,0.0461,0.9811
0.0475,0.9778,0.0624,0.9764
0.0545,0.9762,0.0417,0.9837
0.0316,0.9853,0.0585,0.9811
0.0454,0.9782,0.0559,0.9743
0.0408,0.9792,0.0474,0.9795
0.0443,0.9799,0.0576,0.9722
0.0344,0.9848,0.0522,0.9769
0.0484,0.9783,0.0545,0.9753
0.0663,0.9735,0.1220,0.9538
0.0567,0.9741,0.0621,0.9769
0.0468,0.9811,0.0716,0.9716
0.0491,0.9800,0.1091,0.9617
0.0510,0.9764,0.0500,0.9758
0.0314,0.9842,0.0447,0.9785
0.0298,0.9880,0.0449,0.9790
0.0259,0.9870,0.0449,0.9800
0.0222,0.9887,0.0456,0.9806
0.0229,0.9895,0.0450,0.9821
0.0231,0.9895,0.0431,0.9806
0.0254,0.9889,0.0406,0.9816
0.0173,0.9923,0.0422,0.9827
0.0182,0.9909,0.0414,0.9821
0.0233,0.9897,0.0419,0.9832
0.0246,0.9889,0.0390,0.9816
0.0192,0.9909,0.0413,0.9821
0.0161,0.9925,0.0481,0.9827
0.0118,0.9944,0.0433,0.9827
0.0120,0.9950,0.0455,0.9848
0.0243,0.9881,0.0457,0.9837
0.0172,0.9950,0.0463,0.9821
0.0164,0.9917,0.0488,0.9837
0.0176,0.9934,0.0473,0.9827
0.0131,0.9935,0.0528,0.9832
0.0202,0.9915,0.0471,0.9827
0.0187,0.9922,0.0435,0.9806
0.0120,0.9943,0.0467,0.9816
0.0106,0.9958,0.0469,0.9821
0.0116,0.9949,0.0473,0.9832
0.0123,0.9940,0.0468,0.9821
0.0152,0.9949,0.0457,0.9816
0.0143,0.9943,0.0447,0.9821
0.0141,0.9945,0.0441,0.9832
0.0142,0.9949,0.0451,0.9827
0.0107,0.9959,0.0493,0.9827
0.0156,0.9943,0.0478,0.9832
0.0146,0.9935,0.0456,0.9821
0.0106,0.9960,0.0549,0.9800
0.0176,0.9932,0.0502,0.9806
0.0100,0.9943,0.0521,0.9816
0.0164,0.9926,0.0524,0.9785
0.0142,0.9950,0.0540,0.9795
0.0126,0.9939,0.0547,0.9806
0.0146,0.9954,0.0530,0.9816
0.0160,0.9935,0.0499,0.9806
0.0124,0.9949,0.0515,0.9811
0.0094,0.9955,0.0493,0.9832
0.0092,0.9955,0.0534,0.9827
0.0150,0.9952,0.0536,0.9811
0.0125,0.9939,0.0484,0.9832
0.0141,0.9957,0.0517,0.9821
0.0080,0.9973,0.0525,0.9811
0.0224,0.9938,0.0482,0.9806
0.0135,0.9949,0.0533,0.9816
