train_loss,train_accuracy,valid_loss,valid_accuracy
0.2080,0.9156,0.1380,0.9375
0.1870,0.9263,0.2060,0.9207
0.1783,0.9248,0.1117,0.9611
0.1121,0.9538,0.0981,0.9622
0.0987,0.9552,0.2005,0.9375
0.0989,0.9529,0.0846,0.9590
0.0767,0.9630,0.0848,0.9674
0.0746,0.9637,0.0727,0.9664
0.0927,0.9583,0.0798,0.9706
0.0796,0.9637,0.0675,0.9769
0.0737,0.9682,0.0824,0.9706
0.0587,0.9728,0.0673,0.9711
0.0603,0.9730,0.0730,0.9732
0.0655,0.9681,0.0981,0.9527
0.0825,0.9645,0.1034,0.9669
0.0546,0.9711,0.0553,0.9764
0.0493,0.9760,0.0779,0.9748
0.0601,0.9700,0.0607,0.9800
0.0448,0.9793,0.0764,0.9758
0.0492,0.9779,0.0855,0.9711
0.0664,0.9679,0.0920,0.9695
0.0499,0.9778,0.0666,0.9764
0.0413,0.9788,0.0688,0.9732
0.0470,0.9758,0.1230,0.9585
0.0599,0.9733,0.0887,0.9727
0.0401,0.9795,0.0513,0.9816
0.0526,0.9770,0.0945,0.9722
0.0416,0.9792,0.0680,0.9758
0.0393,0.9811,0.0530,0.9842
0.0281,0.9834,0.1021,0.9727
0.0347,0.9832,0.3273,0.9244
0.0470,0.9786,0.0709,0.9779
0.0558,0.9748,0.0724,0.9748
0.0446,0.9793,0.0779,0.9806
0.0354,0.9823,0.0667,0.9779
0.0340,0.9810,0.0465,0.9811
0.0331,0.9834,0.0451,0.9827
0.0392,0.9819,0.0658,0.9821
0.0344,0.9839,0.0643,0.9774
0.0370,0.9824,0.0590,0.9816
0.0292,0.9829,0.0626,0.9779
0.0439,0.9788,0.0540,0.9790
0.0397,0.9841,0.0559,0.9779
0.0228,0.9860,0.0586,0.9806
0.0344,0.9825,0.0656,0.9779
0.0320,0.9843,0.0884,0.9758
0.0317,0.9860,0.0737,0.9774
0.0358,0.9814,0.0727,0.9795
0.0560,0.9782,0.0752,0.9748
0.0338,0.9830,0.0686,0.9800
0.0181,0.9912,0.0627,0.9848
0.0192,0.9897,0.0572,0.9869
0.0172,0.9889,0.0582,0.9858
0.0133,0.9918,0.0594,0.9848
0.0131,0.9922,0.0644,0.9837
0.0157,0.9916,0.0606,0.9842
0.0141,0.9926,0.0596,0.9832
0.0154,0.9918,0.0634,0.9837
0.0134,0.9922,0.0580,0.9848
0.0112,0.9927,0.0572,0.9837
0.0114,0.9930,0.0499,0.9848
0.0091,0.9931,0.0541,0.9832
0.0114,0.9932,0.0675,0.9816
0.0119,0.9912,0.0532,0.9837
0.0115,0.9931,0.0550,0.9837
0.0090,0.9954,0.0590,0.9832
0.0133,0.9921,0.0576,0.9832
0.0081,0.9950,0.0608,0.9832
0.0086,0.9959,0.0714,0.9821
0.0130,0.9926,0.0627,0.9816
0.0084,0.9941,0.0625,0.9827
0.0090,0.9934,0.0662,0.9821
0.0079,0.9945,0.0788,0.9816
0.0096,0.9941,0.0645,0.9837
0.0064,0.9959,0.0727,0.9842
0.0066,0.9950,0.0686,0.9832
0.0067,0.9959,0.0603,0.9853
0.0075,0.9946,0.0690,0.9842
0.0056,0.9966,0.0693,0.9837
0.0093,0.9950,0.0642,0.9853
0.0083,0.9943,0.0767,0.9832
0.0069,0.9959,0.0555,0.9863
0.0099,0.9943,0.0636,0.9842
0.0058,0.9963,0.0613,0.9842
0.0077,0.9943,0.0539,0.9858
0.0102,0.9943,0.0578,0.9858
0.0080,0.9955,0.0572,0.9853
0.0071,0.9955,0.0642,0.9848
0.0048,0.9973,0.0646,0.9848
0.0057,0.9957,0.0733,0.9837
0.0098,0.9949,0.0674,0.9848
0.0062,0.9966,0.0696,0.9842
0.0067,0.9958,0.0677,0.9837
0.0070,0.9960,0.0707,0.9842
0.0060,0.9962,0.0631,0.9842
0.0084,0.9960,0.0689,0.9842
0.0054,0.9958,0.0654,0.9863
0.0044,0.9972,0.0674,0.9858
0.0051,0.9963,0.0709,0.9853
0.0072,0.9959,0.0697,0.9858
