train_loss,train_accuracy,valid_loss,valid_accuracy
0.3359,0.8520,0.1598,0.9307
0.2022,0.9147,0.1111,0.9543
0.1872,0.9199,0.1129,0.9496
0.1633,0.9323,0.1641,0.9286
0.1290,0.9455,0.0799,0.9648
0.1159,0.9489,0.0951,0.9538
0.1149,0.9495,0.0924,0.9638
0.0969,0.9580,0.0589,0.9785
0.1050,0.9528,0.0946,0.9690
0.1092,0.9540,0.0490,0.9753
0.0850,0.9617,0.0861,0.9653
0.1159,0.9463,0.0787,0.9638
0.0830,0.9637,0.0515,0.9769
0.0945,0.9607,0.0725,0.9653
0.0897,0.9625,0.0662,0.9753
0.0745,0.9680,0.0563,0.9774
0.0717,0.9695,0.0427,0.9816
0.0749,0.9652,0.0766,0.9643
0.0692,0.9707,0.0499,0.9811
0.0761,0.9652,0.0513,0.9743
0.0768,0.9676,0.0613,0.9722
0.0515,0.9746,0.0614,0.9743
0.0632,0.9736,0.0517,0.9779
0.0554,0.9764,0.0400,0.9779
0.0772,0.9651,0.0491,0.9785
0.0777,0.9681,0.0464,0.9842
0.0701,0.9716,0.0669,0.9816
0.0635,0.9739,0.0728,0.9685
0.0608,0.9731,0.0550,0.9774
0.0647,0.9705,0.1227,0.9575
0.0573,0.9756,0.0435,0.9848
0.0646,0.9726,0.0466,0.9785
0.0580,0.9759,0.0496,0.9779
0.0430,0.9797,0.0508,0.9774
0.0633,0.9686,0.0484,0.9785
0.0668,0.9760,0.2407,0.8965
0.0884,0.9629,0.0585,0.9706
0.0481,0.9818,0.0506,0.9806
0.0463,0.9770,0.0413,0.9816
0.0456,0.9804,0.0405,0.9816
0.0473,0.9797,0.0480,0.9795
0.0475,0.9791,0.0504,0.9832
0.0387,0.9833,0.0496,0.9821
0.0440,0.9823,0.0384,0.9832
0.0667,0.9705,0.0424,0.9800
0.0526,0.9759,0.0511,0.9816
0.0498,0.9786,0.0527,0.9774
0.0514,0.9788,0.0732,0.9764
0.0377,0.9839,0.0437,0.9806
0.0388,0.9832,0.0420,0.9853
0.0282,0.9872,0.0387,0.9874
0.0304,0.9874,0.0388,0.9869
0.0266,0.9884,0.0385,0.9869
0.0251,0.9895,0.0379,0.9858
0.0282,0.9884,0.0421,0.9853
0.0249,0.9888,0.0397,0.9848
0.0235,0.9911,0.0414,0.9863
0.0202,0.9913,0.0399,0.9837
0.0238,0.9897,0.0449,0.9853
0.0225,0.9913,0.0371,0.9863
0.0193,0.9930,0.0406,0.9848
0.0183,0.9915,0.0392,0.9853
0.0176,0.9921,0.0393,0.9842
0.0260,0.9893,0.0353,0.9837
0.0213,0.9906,0.0389,0.9842
0.0185,0.9929,0.0413,0.9853
0.0162,0.9931,0.0412,0.9848
0.0171,0.9922,0.0454,0.9837
0.0152,0.9934,0.0395,0.9842
0.0227,0.9890,0.0367,0.9848
0.0151,0.9949,0.0403,0.9848
0.0212,0.9898,0.0393,0.9853
0.0199,0.9897,0.0428,0.9842
0.0141,0.9932,0.0444,0.9858
0.0130,0.9943,0.0417,0.9853
0.0162,0.9918,0.0490,0.9848
0.0144,0.9934,0.0418,0.9853
0.0188,0.9931,0.0449,0.9869
0.0156,0.9923,0.0519,0.9853
0.0167,0.9926,0.0392,0.9874
0.0154,0.9938,0.0473,0.9863
0.0230,0.9911,0.0388,0.9853
0.0142,0.9950,0.0391,0.9874
0.0199,0.9929,0.0389,0.9879
0.0188,0.9920,0.0434,0.9863
0.0225,0.9901,0.0384,0.9874
0.0214,0.9918,0.0447,0.9842
0.0227,0.9921,0.0381,0.9853
0.0176,0.9932,0.0425,0.9858
0.0194,0.9904,0.0539,0.9848
0.0097,0.9955,0.0443,0.9869
0.0120,0.9953,0.0463,0.9853
0.0114,0.9950,0.0419,0.9858
0.0179,0.9935,0.0475,0.9863
0.0181,0.9926,0.0514,0.9842
0.0182,0.9922,0.0414,0.9869
0.0214,0.9913,0.0506,0.9858
0.0194,0.9932,0.0408,0.9853
0.0140,0.9950,0.0482,0.9848
0.0115,0.9958,0.0479,0.9848
