train_loss,train_accuracy,valid_loss,valid_accuracy
0.2481,0.8856,0.1986,0.9223
0.1526,0.9353,0.1823,0.9370
0.1438,0.9399,0.0742,0.9706
0.1304,0.9415,0.0823,0.9674
0.1079,0.9526,0.0971,0.9632
0.1014,0.9556,0.0864,0.9622
0.1000,0.9596,0.0768,0.9690
0.0913,0.9577,0.0861,0.9674
0.1192,0.9453,0.0928,0.9627
0.0783,0.9621,0.0667,0.9737
0.0891,0.9610,0.0800,0.9722
0.0747,0.9666,0.0836,0.9680
0.0837,0.9637,0.0743,0.9722
0.0769,0.9658,0.0693,0.9753
0.0615,0.9718,0.0583,0.9753
0.0784,0.9656,0.0826,0.9669
0.1204,0.9522,0.0675,0.9743
0.0614,0.9719,0.0564,0.9790
0.0624,0.9686,0.0523,0.9790
0.0637,0.9695,0.0728,0.9743
0.0737,0.9663,0.1394,0.9559
0.0593,0.9744,0.0987,0.9669
0.0581,0.9733,0.0699,0.9753
0.0580,0.9718,0.0550,0.9806
0.0475,0.9767,0.0515,0.9832
0.0697,0.9702,0.0787,0.9743
0.0504,0.9765,0.0642,0.9800
0.0343,0.9842,0.0534,0.9821
0.0560,0.9731,0.0676,0.9737
0.0440,0.9790,0.0615,0.9764
0.0419,0.9796,0.0804,0.9727
0.0475,0.9772,0.0625,0.9753
0.0556,0.9749,0.0884,0.9737
0.0492,0.9781,0.0596,0.9790
0.0515,0.9772,0.0914,0.9648
0.0461,0.9782,0.0863,0.9727
0.0787,0.9702,0.0562,0.9811
0.0518,0.9748,0.0687,0.9743
0.0434,0.9814,0.0672,0.9790
0.0457,0.9801,0.0639,0.9785
0.0313,0.9820,0.0683,0.9774
0.0575,0.9762,0.0964,0.9680
0.0418,0.9799,0.0542,0.9795
0.0297,0.9852,0.0568,0.9821
0.0339,0.9833,0.0640,0.9785
0.0449,0.9813,0.0736,0.9748
0.0425,0.9797,0.0549,0.9821
0.0430,0.9824,0.0585,0.9737
0.0452,0.9811,0.0607,0.9769
0.0264,0.9869,0.0698,0.9769
0.0310,0.9870,0.0619,0.9800
0.0219,0.9887,0.0623,0.9811
0.0192,0.9898,0.0589,0.9827
0.0216,0.9881,0.0580,0.9821
0.0269,0.9871,0.0658,0.9800
0.0245,0.9878,0.0518,0.9842
0.0188,0.9915,0.0535,0.9837
0.0185,0.9916,0.0538,0.9853
0.0158,0.9913,0.0563,0.9853
0.0272,0.9903,0.0510,0.9863
0.0212,0.9890,0.0486,0.9858
0.0210,0.9911,0.0526,0.9863
0.0169,0.9927,0.0549,0.9848
0.0182,0.9925,0.0589,0.9853
0.0181,0.9922,0.0530,0.9842
0.0138,0.9920,0.0578,0.9842
0.0131,0.9945,0.0533,0.9863
0.0160,0.9918,0.0583,0.9837
0.0116,0.9940,0.0599,0.9848
0.0147,0.9935,0.0539,0.9848
0.0152,0.9925,0.0552,0.9848
0.0159,0.9923,0.0526,0.9842
0.0169,0.9909,0.0512,0.9848
0.0166,0.9923,0.0473,0.9853
0.0187,0.9920,0.0508,0.9848
0.0151,0.9938,0.0524,0.9869
0.0149,0.9940,0.0593,0.9858
0.0130,0.9922,0.0600,0.9863
0.0105,0.9939,0.0584,0.9874
0.0167,0.9915,0.0538,0.9874
0.0110,0.9949,0.0574,0.9858
0.0111,0.9945,0.0537,0.9869
0.0106,0.9952,0.0597,0.9863
0.0103,0.9949,0.0613,0.9848
0.0113,0.9946,0.0539,0.9874
0.0159,0.9926,0.0534,0.9874
0.0199,0.9902,0.0660,0.9853
0.0081,0.9966,0.0512,0.9879
0.0118,0.9930,0.0535,0.9858
0.0136,0.9939,0.0540,0.9869
0.0142,0.9944,0.0588,0.9874
0.0094,0.9940,0.0510,0.9863
0.0134,0.9923,0.0506,0.9874
0.0217,0.9926,0.0467,0.9879
0.0114,0.9936,0.0538,0.9874
0.0148,0.9936,0.0506,0.9863
0.0157,0.9918,0.0581,0.9858
0.0137,0.9940,0.0462,0.9863
0.0104,0.9939,0.0650,0.9853
0.0142,0.9949,0.0595,0.9858
