train_loss,train_accuracy,valid_loss,valid_accuracy
0.2803,0.8943,0.1115,0.9564
0.1278,0.9462,0.2041,0.9070
0.1226,0.9500,0.0930,0.9648
0.1272,0.9504,0.0917,0.9690
0.0842,0.9653,0.0948,0.9706
0.1304,0.9498,0.0772,0.9737
0.0920,0.9596,0.0784,0.9680
0.0994,0.9628,0.0848,0.9632
0.0682,0.9691,0.0693,0.9732
0.0717,0.9703,0.0763,0.9769
0.0814,0.9667,0.0741,0.9769
0.0684,0.9700,0.0489,0.9827
0.0798,0.9690,0.0793,0.9695
0.0716,0.9685,0.1031,0.9711
0.0739,0.9713,0.0523,0.9790
0.0563,0.9770,0.0825,0.9722
0.0568,0.9768,0.0614,0.9811
0.0534,0.9776,0.0579,0.9811
0.0531,0.9764,0.0446,0.9832
0.0480,0.9779,0.0639,0.9790
0.0903,0.9644,0.0589,0.9785
0.0650,0.9698,0.0650,0.9764
0.0508,0.9797,0.0923,0.9701
0.0611,0.9769,0.0570,0.9811
0.0520,0.9774,0.0575,0.9795
0.0534,0.9751,0.0602,0.9779
0.0427,0.9827,0.0555,0.9764
0.0687,0.9713,0.0541,0.9769
0.0494,0.9776,0.1139,0.9685
0.0383,0.9805,0.1607,0.9695
0.0470,0.9809,0.0805,0.9748
0.0576,0.9772,0.0681,0.9806
0.0448,0.9776,0.0599,0.9827
0.0540,0.9782,0.0646,0.9821
0.0355,0.9843,0.1070,0.9716
0.0422,0.9791,0.0503,0.9863
0.0477,0.9804,0.0457,0.9848
0.0315,0.9828,0.0691,0.9795
0.0489,0.9810,0.0697,0.9795
0.0345,0.9861,0.0387,0.9853
0.0324,0.9855,0.0679,0.9779
0.0338,0.9865,0.0704,0.9832
0.0356,0.9850,0.0395,0.9874
0.0444,0.9833,0.0473,0.9821
0.0566,0.9781,0.0728,0.9769
0.0492,0.9816,0.0671,0.9753
0.0364,0.9841,0.0644,0.9790
0.0448,0.9834,0.0481,0.9795
0.0359,0.9858,0.0411,0.9827
0.0398,0.9841,0.0671,0.9827
0.0284,0.9853,0.0618,0.9806
0.0165,0.9922,0.0565,0.9800
0.0228,0.9893,0.0535,0.9827
0.0277,0.9885,0.0583,0.9800
0.0201,0.9894,0.0528,0.9816
0.0231,0.9909,0.0590,0.9795
0.0105,0.9955,0.0593,0.9821
0.0154,0.9920,0.0633,0.9811
0.0132,0.9940,0.0581,0.9827
0.0148,0.9918,0.0632,0.9811
0.0145,0.9923,0.0598,0.9837
0.0135,0.9936,0.0603,0.9821
0.0094,0.9950,0.0629,0.9837
0.0160,0.9939,0.0642,0.9821
0.0110,0.9938,0.0548,0.9848
0.0147,0.9943,0.0645,0.9832
0.0107,0.9931,0.0616,0.9827
0.0134,0.9952,0.0574,0.9827
0.0205,0.9915,0.0542,0.9827
0.0140,0.9927,0.0537,0.9832
0.0108,0.9938,0.0635,0.9827
0.0104,0.9946,0.0712,0.9811
0.0082,0.9963,0.0618,0.9837
0.0129,0.9934,0.0655,0.9837
0.0073,0.9968,0.0637,0.9848
0.0115,0.9945,0.0609,0.9837
0.0136,0.9946,0.0564,0.9853
0.0147,0.9948,0.0672,0.9821
0.0069,0.9972,0.0595,0.9837
0.0073,0.9972,0.0565,0.9842
0.0137,0.9929,0.0641,0.9806
0.0136,0.9935,0.0544,0.9842
0.0080,0.9953,0.0615,0.9842
0.0187,0.9932,0.0612,0.9832
0.0106,0.9953,0.0565,0.9837
0.0084,0.9967,0.0589,0.9842
0.0111,0.9944,0.0614,0.9853
0.0105,0.9964,0.0588,0.9842
0.0084,0.9964,0.0589,0.9853
0.0096,0.9957,0.0648,0.9842
0.0135,0.9948,0.0602,0.9837
0.0137,0.9945,0.0572,0.9848
0.0067,0.9964,0.0693,0.9832
0.0080,0.9948,0.0681,0.9827
0.0125,0.9957,0.0714,0.9811
0.0172,0.9932,0.0614,0.9832
0.0103,0.9953,0.0685,0.9821
0.0136,0.9938,0.0599,0.9842
0.0097,0.9957,0.0613,0.9832
0.0090,0.9953,0.0656,0.9837
