train_loss,train_accuracy,valid_loss,valid_accuracy
0.2708,0.8883,0.1822,0.9270
0.1498,0.9436,0.1093,0.9533
0.1299,0.9450,0.1208,0.9522
0.1105,0.9517,0.1237,0.9449
0.0919,0.9606,0.0627,0.9732
0.0795,0.9677,0.0628,0.9716
0.1094,0.9559,0.0784,0.9706
0.0677,0.9692,0.0657,0.9764
0.0526,0.9754,0.0602,0.9732
0.0569,0.9725,0.0898,0.9611
0.0479,0.9769,0.0395,0.9842
0.0482,0.9787,0.0541,0.9816
0.0618,0.9702,0.0641,0.9811
0.0460,0.9800,0.0570,0.9753
0.0628,0.9716,0.0551,0.9737
0.0473,0.9781,0.0558,0.9790
0.0353,0.9829,0.0494,0.9800
0.0407,0.9796,0.0883,0.9606
0.0423,0.9796,0.0717,0.9685
0.0388,0.9823,0.0496,0.9785
0.0400,0.9806,0.1015,0.9627
0.0548,0.9759,0.0507,0.9748
0.0246,0.9874,0.0682,0.9764
0.0329,0.9808,0.0710,0.9743
0.0412,0.9804,0.0735,0.9758
0.0403,0.9789,0.0980,0.9601
0.0257,0.9871,0.0780,0.9753
0.0223,0.9897,0.0533,0.9790
0.0347,0.9833,0.0703,0.9737
0.0167,0.9899,0.0567,0.9806
0.0426,0.9806,0.1015,0.9632
0.0313,0.9854,0.1038,0.9590
0.0320,0.9868,0.0665,0.9753
0.0259,0.9859,0.0757,0.9722
0.0244,0.9880,0.0566,0.9806
0.0163,0.9893,0.0888,0.9701
0.0208,0.9889,0.0608,0.9816
0.0225,0.9876,0.0791,0.9716
0.0230,0.9899,0.0630,0.9774
0.0193,0.9898,0.0770,0.9769
0.0139,0.9926,0.1865,0.9433
0.0253,0.9868,0.0603,0.9806
0.0120,0.9938,0.0714,0.9790
0.0388,0.9828,0.0807,0.9727
0.0294,0.9869,0.0962,0.9716
0.0195,0.9894,0.0463,0.9816
0.0047,0.9963,0.0594,0.9816
0.0118,0.9939,0.0783,0.9779
0.0147,0.9920,0.1090,0.9638
0.0304,0.9860,0.0867,0.9685
0.0141,0.9934,0.0595,0.9800
0.0075,0.9964,0.0593,0.9800
0.0070,0.9962,0.0539,0.9811
0.0049,0.9982,0.0566,0.9806
0.0040,0.9973,0.0583,0.9811
0.0033,0.9986,0.0605,0.9811
0.0029,0.9977,0.0631,0.9811
0.0036,0.9976,0.0607,0.9816
0.0034,0.9980,0.0628,0.9832
0.0036,0.9985,0.0747,0.9795
0.0025,0.9985,0.0637,0.9837
0.0025,0.9983,0.0650,0.9842
0.0017,0.9989,0.0666,0.9837
0.0013,0.9991,0.0704,0.9832
0.0032,0.9982,0.0753,0.9832
0.0015,0.9989,0.0755,0.9837
0.0012,0.9995,0.0794,0.9832
0.0013,0.9990,0.0735,0.9827
0.0008,0.9995,0.0757,0.9821
0.0009,0.9995,0.0879,0.9821
0.0009,0.9994,0.0887,0.9827
0.0003,0.9997,0.0957,0.9811
0.0007,0.9994,0.0953,0.9827
0.0011,0.9995,0.0891,0.9837
0.0017,0.9995,0.0889,0.9827
0.0006,1.0000,0.0802,0.9832
0.0016,0.9991,0.0848,0.9837
0.0006,0.9999,0.0891,0.9842
0.0011,0.9994,0.1054,0.9816
0.0007,0.9995,0.1012,0.9811
0.0031,0.9989,0.0834,0.9853
0.0013,0.9994,0.0887,0.9811
0.0004,0.9997,0.0911,0.9816
0.0005,0.9996,0.0832,0.9832
0.0009,0.9994,0.1170,0.9795
0.0006,0.9996,0.1008,0.9816
0.0010,0.9991,0.0919,0.9827
0.0003,0.9999,0.0946,0.9837
0.0002,0.9997,0.0971,0.9842
0.0005,0.9996,0.1002,0.9827
0.0015,0.9996,0.0887,0.9848
0.0002,0.9999,0.0948,0.9837
0.0008,0.9995,0.0877,0.9842
0.0006,0.9996,0.0985,0.9842
0.0010,0.9996,0.0916,0.9832
0.0008,0.9996,0.0984,0.9832
0.0004,0.9999,0.0934,0.9832
0.0004,0.9997,0.0887,0.9842
0.0015,0.9994,0.0905,0.9837
0.0005,0.9996,0.1022,0.9816
