train_loss,train_accuracy,valid_loss,valid_accuracy
0.3233,0.8461,0.1308,0.9491
0.1965,0.9195,0.1342,0.9485
0.1659,0.9263,0.0935,0.9611
0.1564,0.9408,0.1062,0.9569
0.1228,0.9461,0.0872,0.9685
0.1445,0.9398,0.0834,0.9653
0.1071,0.9545,0.0643,0.9753
0.1134,0.9577,0.0977,0.9601
0.0978,0.9573,0.0648,0.9732
0.1125,0.9526,0.0669,0.9722
0.0951,0.9527,0.0758,0.9716
0.0911,0.9611,0.0676,0.9680
0.0865,0.9621,0.0775,0.9722
0.0838,0.9587,0.0644,0.9764
0.0793,0.9671,0.0565,0.9769
0.0907,0.9620,0.0550,0.9779
0.0758,0.9682,0.0750,0.9632
0.0918,0.9598,0.0649,0.9743
0.0774,0.9677,0.0487,0.9821
0.0714,0.9726,0.0528,0.9821
0.0573,0.9735,0.0497,0.9827
0.0702,0.9721,0.0481,0.9842
0.0655,0.9746,0.0602,0.9764
0.0875,0.9656,0.0691,0.9774
0.0581,0.9755,0.0736,0.9764
0.0644,0.9713,0.0492,0.9774
0.0504,0.9749,0.0784,0.9722
0.0692,0.9709,0.0568,0.9758
0.0554,0.9755,0.0705,0.9732
0.0678,0.9711,0.0516,0.9795
0.0690,0.9712,0.0567,0.9774
0.0593,0.9719,0.0678,0.9800
0.0875,0.9704,0.0563,0.9764
0.0583,0.9754,0.0470,0.9806
0.0613,0.9718,0.0506,0.9785
0.0581,0.9756,0.0857,0.9732
0.0520,0.9781,0.0566,0.9753
0.0504,0.9795,0.0522,0.9790
0.0621,0.9719,0.0512,0.9827
0.0457,0.9797,0.0543,0.9811
0.0516,0.9781,0.0538,0.9811
0.0475,0.9783,0.0468,0.9806
0.0510,0.9754,0.0549,0.9832
0.0412,0.9814,0.0510,0.9827
0.0514,0.9800,0.0478,0.9874
0.0558,0.9768,0.0536,0.9795
0.0577,0.9760,0.0657,0.9758
0.0479,0.9784,0.0803,0.9764
0.0444,0.9797,0.0585,0.9837
0.0796,0.9707,0.0846,0.9659
0.0536,0.9760,0.0659,0.9795
0.0487,0.9767,0.0697,0.9790
0.0371,0.9856,0.0654,0.9795
0.0435,0.9787,0.0693,0.9795
0.0329,0.9842,0.0705,0.9790
0.0356,0.9844,0.0667,0.9800
0.0387,0.9842,0.0593,0.9806
0.0401,0.9816,0.0603,0.9811
0.0254,0.9881,0.0583,0.9811
0.0376,0.9834,0.0582,0.9800
0.0263,0.9883,0.0564,0.9821
0.0284,0.9878,0.0523,0.9832
0.0260,0.9888,0.0515,0.9842
0.0224,0.9903,0.0517,0.9821
0.0280,0.9878,0.0495,0.9837
0.0188,0.9920,0.0511,0.9837
0.0333,0.9832,0.0510,0.9837
0.0257,0.9895,0.0539,0.9837
0.0292,0.9860,0.0542,0.9848
0.0246,0.9903,0.0479,0.9853
0.0345,0.9861,0.0499,0.9853
0.0283,0.9897,0.0484,0.9858
0.0286,0.9890,0.0487,0.9842
0.0189,0.9901,0.0469,0.9858
0.0211,0.9912,0.0473,0.9837
0.0191,0.9916,0.0519,0.9842
0.0301,0.9884,0.0472,0.9858
0.0214,0.9907,0.0486,0.9848
0.0299,0.9876,0.0497,0.9858
0.0233,0.9926,0.0473,0.9869
0.0176,0.9925,0.0494,0.9869
0.0189,0.9923,0.0510,0.9858
0.0217,0.9906,0.0566,0.9842
0.0243,0.9907,0.0513,0.9848
0.0268,0.9908,0.0523,0.9863
0.0201,0.9907,0.0528,0.9863
0.0211,0.9921,0.0487,0.9848
0.0299,0.9884,0.0452,0.9842
0.0173,0.9921,0.0486,0.9853
0.0245,0.9897,0.0505,0.9848
0.0194,0.9929,0.0504,0.9853
0.0197,0.9932,0.0506,0.9858
0.0165,0.9939,0.0515,0.9863
0.0222,0.9908,0.0537,0.9848
0.0211,0.9935,0.0456,0.9853
0.0287,0.9879,0.0475,0.9853
0.0213,0.9926,0.0493,0.9848
0.0239,0.9915,0.0551,0.9853
0.0259,0.9902,0.0502,0.9853
0.0174,0.9932,0.0487,0.9858
