train_loss,train_accuracy,valid_loss,valid_accuracy
0.2224,0.9033,0.2302,0.9223
0.2115,0.9259,0.1944,0.9401
0.1787,0.9311,0.0971,0.9617
0.1229,0.9518,0.1033,0.9601
0.1188,0.9521,0.0801,0.9732
0.1019,0.9552,0.0802,0.9743
0.0785,0.9647,0.0743,0.9764
0.0656,0.9698,0.0946,0.9748
0.0843,0.9652,0.0776,0.9711
0.0877,0.9601,0.0505,0.9795
0.0524,0.9749,0.0641,0.9821
0.0594,0.9739,0.1057,0.9580
0.0742,0.9666,0.0757,0.9680
0.0692,0.9726,0.0790,0.9701
0.0667,0.9725,0.0800,0.9743
0.0680,0.9741,0.0740,0.9743
0.0529,0.9746,0.0565,0.9816
0.0449,0.9801,0.0722,0.9790
0.0672,0.9716,0.0700,0.9800
0.0538,0.9748,0.0724,0.9743
0.0588,0.9776,0.1997,0.9270
0.1361,0.9424,0.0584,0.9785
0.0664,0.9765,0.0482,0.9779
0.0453,0.9786,0.0517,0.9800
0.0469,0.9796,0.0495,0.9800
0.0467,0.9796,0.0612,0.9790
0.0433,0.9781,0.0543,0.9758
0.0429,0.9809,0.0723,0.9764
0.0448,0.9797,0.0419,0.9821
0.0388,0.9847,0.0530,0.9832
0.0426,0.9762,0.0479,0.9853
0.0466,0.9809,0.0479,0.9806
0.0473,0.9821,0.0602,0.9764
0.0514,0.9793,0.0670,0.9795
0.0446,0.9807,0.0565,0.9853
0.0375,0.9830,0.0476,0.9837
0.0390,0.9821,0.0374,0.9879
0.0518,0.9776,0.0342,0.9884
0.0337,0.9830,0.0459,0.9837
0.0425,0.9813,0.0842,0.9779
0.0472,0.9778,0.0783,0.9769
0.0388,0.9819,0.0394,0.9879
0.0272,0.9872,0.0658,0.9848
0.0432,0.9836,0.0469,0.9874
0.0338,0.9836,0.0472,0.9842
0.0342,0.9855,0.0636,0.9832
0.0396,0.9837,0.0558,0.9832
0.0284,0.9850,0.0493,0.9837
0.0350,0.9853,0.0421,0.9842
0.0370,0.9838,0.0742,0.9748
0.0229,0.9904,0.0456,0.9827
0.0166,0.9926,0.0443,0.9853
0.0188,0.9897,0.0425,0.9869
0.0154,0.9934,0.0432,0.9879
0.0160,0.9908,0.0459,0.9869
0.0173,0.9913,0.0508,0.9858
0.0114,0.9935,0.0488,0.9848
0.0138,0.9938,0.0473,0.9858
0.0156,0.9926,0.0528,0.9848
0.0187,0.9920,0.0468,0.9837
0.0157,0.9932,0.0462,0.9858
0.0171,0.9921,0.0406,0.9874
0.0138,0.9944,0.0444,0.9863
0.0109,0.9943,0.0463,0.9848
0.0076,0.9955,0.0440,0.9863
0.0125,0.9941,0.0423,0.9863
0.0135,0.9932,0.0397,0.9863
0.0107,0.9957,0.0587,0.9863
0.0101,0.9955,0.0525,0.9858
0.0162,0.9946,0.0563,0.9848
0.0115,0.9955,0.0467,0.9863
0.0139,0.9931,0.0418,0.9879
0.0085,0.9953,0.0493,0.9863
0.0113,0.9953,0.0529,0.9858
0.0116,0.9948,0.0469,0.9863
0.0105,0.9953,0.0429,0.9869
0.0110,0.9939,0.0522,0.9858
0.0130,0.9957,0.0514,0.9858
0.0092,0.9962,0.0568,0.9832
0.0078,0.9960,0.0401,0.9874
0.0069,0.9962,0.0405,0.9884
0.0106,0.9954,0.0446,0.9863
0.0071,0.9972,0.0523,0.9874
0.0089,0.9959,0.0459,0.9884
0.0050,0.9980,0.0457,0.9869
0.0123,0.9952,0.0488,0.9837
0.0072,0.9972,0.0427,0.9869
0.0050,0.9974,0.0532,0.9863
0.0130,0.9936,0.0514,0.9863
0.0091,0.9962,0.0515,0.9869
0.0126,0.9950,0.0482,0.9869
0.0095,0.9960,0.0543,0.9848
0.0070,0.9973,0.0533,0.9863
0.0069,0.9971,0.0602,0.9863
0.0094,0.9955,0.0532,0.9863
0.0084,0.9969,0.0566,0.9869
0.0120,0.9952,0.0609,0.9853
0.0095,0.9966,0.0494,0.9874
0.0090,0.9959,0.0500,0.9879
0.0087,0.9972,0.0521,0.9869
