train_loss,train_accuracy,valid_loss,valid_accuracy
0.2369,0.9074,0.0873,0.9648
0.1415,0.9403,0.1684,0.9191
0.1139,0.9517,0.0914,0.9669
0.1038,0.9561,0.0767,0.9669
0.0745,0.9661,0.1092,0.9680
0.0739,0.9676,0.1381,0.9601
0.0972,0.9582,0.0663,0.9764
0.0620,0.9705,0.0712,0.9753
0.0575,0.9704,0.0773,0.9758
0.0630,0.9739,0.0881,0.9716
0.1016,0.9598,0.0777,0.9722
0.0620,0.9697,0.0880,0.9737
0.0593,0.9728,0.0874,0.9743
0.0502,0.9777,0.0599,0.9837
0.0416,0.9795,0.0619,0.9790
0.0568,0.9742,0.1094,0.9664
0.0587,0.9733,0.0582,0.9774
0.0393,0.9811,0.0603,0.9790
0.0517,0.9773,0.0641,0.9779
0.0493,0.9769,0.0768,0.9795
0.0384,0.9809,0.0650,0.9821
0.0389,0.9818,0.0578,0.9806
0.0454,0.9825,0.0763,0.9753
0.0375,0.9819,0.1134,0.9596
0.0627,0.9748,0.0824,0.9737
0.0345,0.9855,0.0717,0.9764
0.0387,0.9813,0.0686,0.9816
0.0292,0.9860,0.0686,0.9779
0.0419,0.9821,0.0858,0.9722
0.0414,0.9800,0.0557,0.9816
0.0257,0.9876,0.0652,0.9795
0.0362,0.9856,0.0555,0.9842
0.0279,0.9870,0.0673,0.9795
0.0394,0.9828,0.0644,0.9779
0.0269,0.9861,0.0433,0.9816
0.0437,0.9834,0.1133,0.9554
0.0404,0.9805,0.0928,0.9727
0.0269,0.9855,0.0567,0.9816
0.0202,0.9909,0.0620,0.9816
0.0215,0.9897,0.0548,0.9848
0.0371,0.9836,0.0779,0.9743
0.0395,0.9819,0.0494,0.9811
0.0299,0.9867,0.0594,0.9827
0.0308,0.9879,0.0495,0.9858
0.0275,0.9897,0.0336,0.9874
0.0302,0.9876,0.0774,0.9816
0.0357,0.9867,0.0535,0.9832
0.0271,0.9857,0.0706,0.9769
0.0251,0.9878,0.0974,0.9743
0.0259,0.9865,0.0557,0.9821
0.0117,0.9927,0.0478,0.9853
0.0094,0.9944,0.0492,0.9827
0.0096,0.9945,0.0448,0.9837
0.0089,0.9953,0.0472,0.9853
0.0079,0.9960,0.0476,0.9842
0.0078,0.9953,0.0460,0.9848
0.0083,0.9959,0.0454,0.9853
0.0112,0.9949,0.0423,0.9863
0.0084,0.9950,0.0461,0.9858
0.0085,0.9953,0.0466,0.9858
0.0078,0.9949,0.0520,0.9848
0.0077,0.9957,0.0534,0.9837
0.0053,0.9966,0.0493,0.9869
0.0090,0.9946,0.0462,0.9858
0.0056,0.9980,0.0447,0.9858
0.0073,0.9954,0.0566,0.9853
0.0055,0.9964,0.0573,0.9853
0.0044,0.9980,0.0640,0.9821
0.0073,0.9962,0.0507,0.9848
0.0084,0.9963,0.0569,0.9837
0.0087,0.9955,0.0490,0.9853
0.0055,0.9969,0.0561,0.9842
0.0065,0.9966,0.0569,0.9837
0.0054,0.9958,0.0517,0.9858
0.0053,0.9963,0.0560,0.9848
0.0041,0.9967,0.0527,0.9853
0.0073,0.9967,0.0568,0.9853
0.0043,0.9973,0.0527,0.9869
0.0047,0.9977,0.0499,0.9869
0.0051,0.9978,0.0553,0.9863
0.0034,0.9980,0.0588,0.9858
0.0065,0.9963,0.0531,0.9863
0.0027,0.9980,0.0485,0.9863
0.0073,0.9967,0.0539,0.9863
0.0063,0.9972,0.0461,0.9884
0.0060,0.9971,0.0507,0.9890
0.0081,0.9976,0.0492,0.9890
0.0044,0.9974,0.0539,0.9890
0.0040,0.9974,0.0595,0.9874
0.0040,0.9972,0.0536,0.9884
0.0057,0.9969,0.0521,0.9853
0.0029,0.9980,0.0481,0.9895
0.0055,0.9969,0.0527,0.9879
0.0069,0.9977,0.0580,0.9869
0.0047,0.9977,0.0548,0.9869
0.0054,0.9972,0.0532,0.9884
0.0049,0.9976,0.0836,0.9832
0.0031,0.9981,0.0737,0.9858
0.0027,0.9989,0.0633,0.9863
0.0035,0.9982,0.0776,0.9858
