train_loss,train_accuracy,valid_loss,valid_accuracy
0.2504,0.8996,0.1497,0.9449
0.1492,0.9342,0.1322,0.9491
0.1109,0.9531,0.1133,0.9449
0.1039,0.9555,0.1340,0.9559
0.1165,0.9569,0.0583,0.9806
0.1262,0.9515,0.1001,0.9685
0.0996,0.9598,0.0713,0.9737
0.0796,0.9658,0.1025,0.9669
0.0793,0.9649,0.0653,0.9764
0.0626,0.9712,0.0568,0.9785
0.0797,0.9666,0.0525,0.9790
0.0636,0.9709,0.0819,0.9727
0.0554,0.9731,0.0494,0.9827
0.0599,0.9727,0.0725,0.9769
0.0899,0.9657,0.0873,0.9664
0.0700,0.9691,0.1200,0.9564
0.0593,0.9748,0.0588,0.9790
0.0600,0.9742,0.0525,0.9806
0.0533,0.9745,0.0544,0.9795
0.0435,0.9797,0.0414,0.9832
0.0437,0.9804,0.0950,0.9711
0.0576,0.9745,0.0475,0.9795
0.0353,0.9824,0.0566,0.9827
0.0484,0.9834,0.1325,0.9606
0.1120,0.9550,0.0460,0.9858
0.0747,0.9695,0.0603,0.9800
0.0760,0.9691,0.0672,0.9811
0.0423,0.9816,0.0474,0.9837
0.0506,0.9816,0.0634,0.9790
0.0535,0.9778,0.0920,0.9722
0.0378,0.9816,0.0690,0.9743
0.0382,0.9843,0.0631,0.9821
0.0228,0.9866,0.0686,0.9827
0.0376,0.9827,0.0560,0.9795
0.0357,0.9824,0.0556,0.9800
0.0307,0.9864,0.0774,0.9722
0.0534,0.9791,0.0594,0.9779
0.0395,0.9828,0.0407,0.9832
0.0403,0.9813,0.0654,0.9774
0.0282,0.9876,0.0454,0.9811
0.0352,0.9872,0.0717,0.9811
0.0364,0.9820,0.0440,0.9821
0.0379,0.9839,0.0554,0.9795
0.0326,0.9839,0.0458,0.9842
0.0315,0.9853,0.0492,0.9863
0.0314,0.9848,0.0628,0.9821
0.0276,0.9867,0.0608,0.9827
0.0363,0.9844,0.0471,0.9842
0.0285,0.9860,0.0822,0.9711
0.0372,0.9844,0.0497,0.9842
0.0233,0.9884,0.0413,0.9848
0.0195,0.9912,0.0419,0.9842
0.0189,0.9920,0.0406,0.9848
0.0145,0.9927,0.0422,0.9842
0.0129,0.9927,0.0371,0.9869
0.0147,0.9932,0.0385,0.9858
0.0132,0.9931,0.0346,0.9863
0.0126,0.9944,0.0378,0.9869
0.0111,0.9943,0.0368,0.9858
0.0144,0.9941,0.0399,0.9842
0.0136,0.9930,0.0366,0.9869
0.0123,0.9941,0.0401,0.9858
0.0104,0.9943,0.0394,0.9869
0.0119,0.9948,0.0408,0.9863
0.0112,0.9936,0.0396,0.9869
0.0134,0.9932,0.0337,0.9890
0.0107,0.9949,0.0382,0.9879
0.0106,0.9941,0.0464,0.9869
0.0094,0.9950,0.0471,0.9869
0.0115,0.9941,0.0416,0.9874
0.0108,0.9949,0.0584,0.9842
0.0098,0.9957,0.0513,0.9858
0.0116,0.9943,0.0439,0.9874
0.0108,0.9957,0.0535,0.9848
0.0111,0.9954,0.0470,0.9853
0.0084,0.9962,0.0472,0.9858
0.0074,0.9958,0.0491,0.9853
0.0084,0.9959,0.0514,0.9858
0.0103,0.9952,0.0418,0.9879
0.0079,0.9966,0.0413,0.9869
0.0113,0.9940,0.0423,0.9858
0.0081,0.9962,0.0436,0.9874
0.0100,0.9949,0.0503,0.9848
0.0050,0.9971,0.0463,0.9858
0.0049,0.9969,0.0469,0.9848
0.0078,0.9974,0.0461,0.9863
0.0102,0.9968,0.0412,0.9863
0.0037,0.9974,0.0476,0.9863
0.0059,0.9968,0.0455,0.9869
0.0065,0.9969,0.0537,0.9853
0.0034,0.9973,0.0553,0.9842
0.0056,0.9953,0.0456,0.9858
0.0090,0.9966,0.0476,0.9848
0.0090,0.9963,0.0444,0.9853
0.0049,0.9974,0.0540,0.9848
0.0046,0.9971,0.0484,0.9869
0.0084,0.9971,0.0530,0.9848
0.0064,0.9971,0.0559,0.9853
0.0074,0.9940,0.0507,0.9869
0.0082,0.9962,0.0639,0.9853
