train_loss,train_accuracy,valid_loss,valid_accuracy
0.2332,0.9078,0.1244,0.9533
0.1463,0.9424,0.0863,0.9659
0.1427,0.9434,0.1119,0.9575
0.1158,0.9519,0.0899,0.9653
0.0943,0.9588,0.0793,0.9674
0.0774,0.9639,0.0580,0.9774
0.0901,0.9609,0.0670,0.9790
0.0691,0.9693,0.0416,0.9795
0.0694,0.9697,0.1020,0.9701
0.0868,0.9675,0.0938,0.9643
0.0604,0.9733,0.0613,0.9795
0.0525,0.9745,0.0808,0.9701
0.0507,0.9788,0.0779,0.9800
0.0512,0.9778,0.0573,0.9764
0.0589,0.9727,0.0525,0.9816
0.0565,0.9746,0.0697,0.9748
0.0399,0.9814,0.0585,0.9816
0.0480,0.9779,0.0440,0.9837
0.0469,0.9763,0.0528,0.9832
0.0599,0.9745,0.0663,0.9753
0.0346,0.9809,0.0550,0.9858
0.0341,0.9814,0.0678,0.9816
0.0424,0.9807,0.0568,0.9806
0.0533,0.9737,0.0613,0.9837
0.0406,0.9815,0.0536,0.9821
0.0470,0.9804,0.0557,0.9837
0.0360,0.9841,0.0761,0.9779
0.0347,0.9847,0.0500,0.9790
0.0329,0.9848,0.0417,0.9858
0.0410,0.9807,0.1323,0.9648
0.0521,0.9797,0.0497,0.9827
0.0301,0.9853,0.0453,0.9848
0.0183,0.9893,0.0529,0.9832
0.0260,0.9869,0.0769,0.9790
0.0302,0.9869,0.0531,0.9837
0.0336,0.9837,0.0527,0.9853
0.0462,0.9824,0.0727,0.9779
0.0377,0.9828,0.0718,0.9816
0.0284,0.9870,0.0455,0.9832
0.0361,0.9825,0.0541,0.9848
0.0376,0.9842,0.0505,0.9837
0.0194,0.9893,0.1005,0.9790
0.0362,0.9860,0.0411,0.9853
0.0210,0.9895,0.0970,0.9695
0.0366,0.9844,0.0761,0.9806
0.0206,0.9911,0.0910,0.9795
0.0348,0.9843,0.0876,0.9800
0.0262,0.9884,0.0553,0.9853
0.0247,0.9881,0.0499,0.9879
0.0230,0.9893,0.0702,0.9816
0.0159,0.9923,0.0532,0.9837
0.0120,0.9934,0.0457,0.9858
0.0089,0.9960,0.0462,0.9869
0.0116,0.9925,0.0457,0.9853
0.0111,0.9941,0.0448,0.9858
0.0108,0.9943,0.0404,0.9874
0.0091,0.9946,0.0414,0.9879
0.0115,0.9949,0.0412,0.9879
0.0095,0.9944,0.0449,0.9858
0.0073,0.9957,0.0446,0.9874
0.0079,0.9955,0.0397,0.9879
0.0064,0.9967,0.0577,0.9874
0.0099,0.9962,0.0411,0.9869
0.0078,0.9966,0.0424,0.9869
0.0064,0.9963,0.0419,0.9863
0.0054,0.9972,0.0544,0.9853
0.0060,0.9960,0.0492,0.9863
0.0072,0.9949,0.0510,0.9863
0.0078,0.9960,0.0503,0.9863
0.0061,0.9955,0.0482,0.9858
0.0063,0.9969,0.0516,0.9863
0.0051,0.9973,0.0473,0.9853
0.0047,0.9977,0.0565,0.9848
0.0069,0.9964,0.0588,0.9869
0.0062,0.9967,0.0542,0.9869
0.0068,0.9958,0.0549,0.9869
0.0045,0.9967,0.0550,0.9869
0.0036,0.9978,0.0546,0.9874
0.0041,0.9978,0.0538,0.9869
0.0033,0.9985,0.0564,0.9879
0.0065,0.9960,0.0592,0.9869
0.0053,0.9973,0.0544,0.9879
0.0042,0.9978,0.0571,0.9869
0.0037,0.9980,0.0609,0.9869
0.0045,0.9974,0.0572,0.9869
0.0054,0.9963,0.0623,0.9884
0.0041,0.9981,0.0589,0.9874
0.0049,0.9971,0.0622,0.9879
0.0025,0.9981,0.0616,0.9874
0.0035,0.9981,0.0537,0.9874
0.0040,0.9981,0.0650,0.9863
0.0034,0.9977,0.0576,0.9879
0.0029,0.9983,0.0565,0.9863
0.0020,0.9987,0.0594,0.9879
0.0037,0.9982,0.0539,0.9884
0.0036,0.9972,0.0648,0.9874
0.0042,0.9977,0.0612,0.9890
0.0047,0.9977,0.0689,0.9874
0.0028,0.9986,0.0565,0.9884
0.0050,0.9973,0.0676,0.9869
