train_loss,train_accuracy,valid_loss,valid_accuracy
0.2233,0.9007,0.1018,0.9585
0.1066,0.9542,0.0857,0.9685
0.1140,0.9514,0.1275,0.9580
0.1005,0.9598,0.0945,0.9727
0.0915,0.9620,0.0946,0.9695
0.1013,0.9600,0.2027,0.9338
0.0754,0.9681,0.0672,0.9774
0.0633,0.9739,0.0781,0.9722
0.0661,0.9708,0.0611,0.9806
0.0704,0.9702,0.0769,0.9701
0.0579,0.9745,0.0747,0.9748
0.0572,0.9722,0.0689,0.9748
0.0431,0.9781,0.0511,0.9816
0.0525,0.9779,0.0592,0.9811
0.0488,0.9755,0.0981,0.9764
0.0458,0.9800,0.0503,0.9811
0.0519,0.9783,0.0765,0.9790
0.0666,0.9711,0.0888,0.9716
0.0731,0.9727,0.1043,0.9627
0.0647,0.9736,0.0753,0.9748
0.0390,0.9823,0.0664,0.9811
0.0398,0.9832,0.0917,0.9664
0.0420,0.9823,0.0635,0.9816
0.0393,0.9833,0.0610,0.9806
0.0325,0.9830,0.0591,0.9806
0.0617,0.9807,0.1939,0.9648
0.0484,0.9810,0.0466,0.9827
0.0307,0.9857,0.0562,0.9795
0.0272,0.9875,0.0455,0.9858
0.0351,0.9836,0.0526,0.9816
0.0401,0.9813,0.0706,0.9821
0.0347,0.9830,0.0557,0.9790
0.0327,0.9857,0.0732,0.9800
0.0337,0.9837,0.0579,0.9769
0.0298,0.9875,0.0596,0.9764
0.0338,0.9864,0.0557,0.9816
0.0297,0.9856,0.0572,0.9869
0.0214,0.9908,0.0571,0.9869
0.0282,0.9865,0.0532,0.9842
0.0261,0.9879,0.0518,0.9832
0.0190,0.9888,0.0635,0.9848
0.0234,0.9883,0.0626,0.9811
0.0254,0.9899,0.0630,0.9806
0.0257,0.9874,0.0421,0.9890
0.0245,0.9888,0.0554,0.9806
0.0442,0.9838,0.0742,0.9748
0.0283,0.9876,0.0633,0.9800
0.0208,0.9885,0.0769,0.9821
0.0192,0.9908,0.0666,0.9774
0.0250,0.9890,0.0655,0.9827
0.0177,0.9909,0.0489,0.9853
0.0123,0.9935,0.0476,0.9853
0.0164,0.9923,0.0444,0.9874
0.0135,0.9936,0.0421,0.9869
0.0098,0.9954,0.0472,0.9869
0.0107,0.9938,0.0391,0.9879
0.0091,0.9945,0.0431,0.9848
0.0100,0.9948,0.0423,0.9874
0.0081,0.9966,0.0401,0.9879
0.0074,0.9960,0.0484,0.9869
0.0082,0.9944,0.0449,0.9874
0.0062,0.9952,0.0462,0.9874
0.0079,0.9959,0.0537,0.9853
0.0067,0.9949,0.0505,0.9863
0.0062,0.9963,0.0498,0.9874
0.0059,0.9963,0.0507,0.9879
0.0066,0.9966,0.0458,0.9879
0.0061,0.9969,0.0579,0.9869
0.0058,0.9962,0.0483,0.9884
0.0062,0.9959,0.0445,0.9879
0.0060,0.9966,0.0417,0.9879
0.0047,0.9972,0.0455,0.9879
0.0066,0.9962,0.0432,0.9884
0.0063,0.9973,0.0448,0.9879
0.0059,0.9966,0.0388,0.9895
0.0082,0.9950,0.0465,0.9895
0.0042,0.9983,0.0452,0.9890
0.0041,0.9973,0.0438,0.9911
0.0043,0.9973,0.0511,0.9884
0.0050,0.9974,0.0514,0.9879
0.0042,0.9976,0.0458,0.9890
0.0064,0.9967,0.0433,0.9884
0.0038,0.9980,0.0442,0.9879
0.0062,0.9977,0.0525,0.9874
0.0067,0.9978,0.0458,0.9879
0.0027,0.9982,0.0549,0.9874
0.0033,0.9983,0.0572,0.9879
0.0020,0.9991,0.0647,0.9884
0.0055,0.9963,0.0449,0.9900
0.0079,0.9964,0.0572,0.9879
0.0043,0.9974,0.0622,0.9874
0.0027,0.9986,0.0697,0.9858
0.0064,0.9968,0.0547,0.9884
0.0043,0.9974,0.0709,0.9853
0.0059,0.9976,0.0556,0.9890
0.0034,0.9976,0.0636,0.9869
0.0058,0.9967,0.0553,0.9895
0.0041,0.9986,0.0558,0.9900
0.0038,0.9981,0.0597,0.9884
0.0037,0.9986,0.0620,0.9879
