train_loss,train_accuracy,valid_loss,valid_accuracy
0.2008,0.9189,0.0991,0.9659
0.1236,0.9436,0.0822,0.9701
0.1237,0.9498,0.1054,0.9685
0.1477,0.9496,0.1921,0.9343
0.1385,0.9463,0.0831,0.9727
0.0885,0.9615,0.1007,0.9632
0.0768,0.9695,0.0833,0.9748
0.0699,0.9695,0.0785,0.9743
0.0530,0.9765,0.0529,0.9816
0.0755,0.9665,0.0661,0.9753
0.0559,0.9759,0.0699,0.9769
0.0496,0.9735,0.0928,0.9674
0.0623,0.9741,0.0739,0.9774
0.0536,0.9753,0.1020,0.9737
0.0407,0.9796,0.0690,0.9790
0.0563,0.9758,0.0635,0.9811
0.0434,0.9787,0.0610,0.9764
0.0740,0.9703,0.0653,0.9790
0.0505,0.9786,0.0743,0.9711
0.0741,0.9713,0.0633,0.9737
0.0456,0.9783,0.0490,0.9790
0.0353,0.9802,0.0800,0.9779
0.0334,0.9828,0.0678,0.9811
0.0331,0.9832,0.0508,0.9816
0.0359,0.9838,0.0603,0.9816
0.0376,0.9818,0.0856,0.9764
0.0401,0.9820,0.0815,0.9701
0.0495,0.9786,0.0709,0.9790
0.0397,0.9821,0.0645,0.9795
0.0313,0.9853,0.0610,0.9848
0.0351,0.9823,0.0693,0.9816
0.0252,0.9865,0.0694,0.9774
0.0239,0.9869,0.0575,0.9821
0.0216,0.9895,0.0743,0.9769
0.0393,0.9847,0.0706,0.9795
0.0351,0.9827,0.0594,0.9785
0.0222,0.9862,0.0598,0.9785
0.0508,0.9792,0.0547,0.9785
0.0290,0.9865,0.0452,0.9837
0.0239,0.9888,0.0676,0.9816
0.0306,0.9860,0.0677,0.9764
0.0337,0.9851,0.0591,0.9811
0.0202,0.9884,0.0669,0.9816
0.0260,0.9889,0.0662,0.9790
0.0248,0.9884,0.0501,0.9879
0.0163,0.9906,0.0672,0.9853
0.0397,0.9823,0.0926,0.9737
0.0309,0.9853,0.0412,0.9848
0.0286,0.9880,0.1046,0.9680
0.0192,0.9903,0.0605,0.9827
0.0180,0.9925,0.0367,0.9869
0.0138,0.9934,0.0369,0.9884
0.0083,0.9962,0.0332,0.9890
0.0130,0.9935,0.0327,0.9874
0.0100,0.9941,0.0313,0.9890
0.0073,0.9963,0.0292,0.9879
0.0095,0.9946,0.0324,0.9890
0.0056,0.9973,0.0339,0.9895
0.0093,0.9955,0.0325,0.9895
0.0088,0.9954,0.0350,0.9895
0.0060,0.9963,0.0385,0.9863
0.0073,0.9967,0.0377,0.9879
0.0067,0.9954,0.0370,0.9884
0.0047,0.9969,0.0355,0.9890
0.0034,0.9977,0.0383,0.9879
0.0060,0.9967,0.0365,0.9879
0.0049,0.9966,0.0329,0.9890
0.0046,0.9976,0.0390,0.9884
0.0050,0.9966,0.0338,0.9895
0.0059,0.9959,0.0354,0.9900
0.0044,0.9976,0.0438,0.9900
0.0058,0.9967,0.0340,0.9895
0.0050,0.9968,0.0373,0.9890
0.0060,0.9977,0.0566,0.9858
0.0044,0.9978,0.0367,0.9884
0.0048,0.9969,0.0417,0.9890
0.0063,0.9972,0.0442,0.9895
0.0042,0.9972,0.0421,0.9890
0.0045,0.9967,0.0433,0.9890
0.0033,0.9977,0.0416,0.9890
0.0039,0.9978,0.0549,0.9879
0.0039,0.9980,0.0432,0.9895
0.0050,0.9968,0.0585,0.9869
0.0036,0.9976,0.0480,0.9890
0.0058,0.9981,0.0512,0.9858
0.0024,0.9983,0.0473,0.9890
0.0047,0.9968,0.0418,0.9895
0.0029,0.9982,0.0554,0.9879
0.0026,0.9985,0.0430,0.9900
0.0038,0.9982,0.0513,0.9900
0.0043,0.9978,0.0520,0.9890
0.0042,0.9983,0.0478,0.9895
0.0035,0.9981,0.0468,0.9895
0.0039,0.9971,0.0692,0.9874
0.0030,0.9978,0.0472,0.9884
0.0029,0.9978,0.0534,0.9884
0.0048,0.9976,0.0540,0.9895
0.0038,0.9978,0.0580,0.9879
0.0025,0.9990,0.0611,0.9874
0.0061,0.9974,0.0551,0.9869
