train_loss,train_accuracy,valid_loss,valid_accuracy
0.3644,0.8374,0.1321,0.9449
0.1816,0.9132,0.1262,0.9491
0.1884,0.9198,0.1089,0.9543
0.1532,0.9341,0.0737,0.9680
0.1397,0.9388,0.0690,0.9706
0.1349,0.9464,0.1611,0.9265
0.1250,0.9408,0.0917,0.9632
0.1028,0.9542,0.1099,0.9659
0.1118,0.9529,0.0638,0.9758
0.1227,0.9524,0.0922,0.9590
0.0994,0.9587,0.0715,0.9711
0.0965,0.9597,0.0656,0.9769
0.0860,0.9601,0.0765,0.9732
0.1123,0.9545,0.0600,0.9737
0.0781,0.9656,0.1071,0.9643
0.0839,0.9589,0.0790,0.9706
0.0778,0.9676,0.0606,0.9732
0.0843,0.9652,0.0674,0.9722
0.0946,0.9635,0.0497,0.9779
0.0771,0.9651,0.0490,0.9811
0.0757,0.9670,0.0458,0.9779
0.0685,0.9726,0.0610,0.9779
0.0694,0.9698,0.0749,0.9716
0.0730,0.9675,0.0857,0.9716
0.0731,0.9682,0.0489,0.9800
0.0693,0.9700,0.0820,0.9732
0.0671,0.9722,0.0547,0.9732
0.0525,0.9731,0.0560,0.9774
0.0683,0.9705,0.0629,0.9790
0.0624,0.9723,0.0480,0.9821
0.0527,0.9750,0.0611,0.9732
0.0602,0.9702,0.0628,0.9821
0.0586,0.9713,0.0594,0.9769
0.0518,0.9751,0.0651,0.9764
0.0676,0.9684,0.0522,0.9816
0.0564,0.9768,0.0562,0.9764
0.0735,0.9645,0.0711,0.9758
0.0654,0.9686,0.0587,0.9716
0.0722,0.9685,0.0536,0.9758
0.0535,0.9748,0.0541,0.9753
0.0610,0.9736,0.0616,0.9769
0.0631,0.9748,0.0556,0.9774
0.0460,0.9788,0.0598,0.9743
0.0648,0.9744,0.0641,0.9748
0.0536,0.9764,0.0461,0.9795
0.0384,0.9818,0.0633,0.9758
0.0404,0.9797,0.0681,0.9779
0.0410,0.9828,0.0507,0.9821
0.0384,0.9815,0.0569,0.9785
0.0420,0.9791,0.0467,0.9790
0.0383,0.9837,0.0459,0.9800
0.0324,0.9839,0.0470,0.9800
0.0307,0.9869,0.0467,0.9811
0.0248,0.9892,0.0471,0.9827
0.0235,0.9897,0.0474,0.9816
0.0328,0.9853,0.0463,0.9821
0.0297,0.9887,0.0450,0.9827
0.0309,0.9879,0.0420,0.9837
0.0269,0.9867,0.0423,0.9848
0.0310,0.9852,0.0460,0.9848
0.0293,0.9866,0.0441,0.9842
0.0329,0.9852,0.0416,0.9832
0.0327,0.9871,0.0423,0.9832
0.0375,0.9839,0.0399,0.9827
0.0238,0.9897,0.0399,0.9837
0.0268,0.9885,0.0387,0.9848
0.0281,0.9884,0.0448,0.9853
0.0260,0.9881,0.0468,0.9842
0.0261,0.9895,0.0457,0.9858
0.0273,0.9862,0.0451,0.9853
0.0214,0.9876,0.0467,0.9853
0.0356,0.9836,0.0475,0.9853
0.0237,0.9907,0.0487,0.9853
0.0261,0.9892,0.0503,0.9848
0.0233,0.9904,0.0435,0.9842
0.0231,0.9903,0.0444,0.9837
0.0208,0.9922,0.0479,0.9848
0.0241,0.9893,0.0535,0.9863
0.0251,0.9881,0.0546,0.9853
0.0277,0.9889,0.0514,0.9858
0.0249,0.9909,0.0524,0.9853
0.0234,0.9893,0.0518,0.9848
0.0308,0.9867,0.0603,0.9853
0.0294,0.9883,0.0545,0.9827
0.0227,0.9907,0.0544,0.9821
0.0229,0.9907,0.0533,0.9832
0.0170,0.9927,0.0452,0.9848
0.0227,0.9903,0.0505,0.9842
0.0205,0.9901,0.0501,0.9848
0.0273,0.9876,0.0557,0.9827
0.0254,0.9872,0.0568,0.9837
0.0242,0.9903,0.0570,0.9848
0.0243,0.9909,0.0538,0.9858
0.0315,0.9892,0.0556,0.9848
0.0183,0.9922,0.0579,0.9848
0.0177,0.9917,0.0531,0.9853
0.0260,0.9901,0.0560,0.9821
0.0198,0.9906,0.0589,0.9832
0.0223,0.9899,0.0570,0.9832
0.0164,0.9929,0.0569,0.9869
