train_loss,train_accuracy,valid_loss,valid_accuracy
0.2559,0.8934,0.1445,0.9496
0.2081,0.9194,0.0989,0.9685
0.1089,0.9529,0.0956,0.9680
0.1189,0.9512,0.1257,0.9622
0.1705,0.9404,0.0587,0.9769
0.1008,0.9560,0.0787,0.9737
0.0907,0.9547,0.0861,0.9716
0.0781,0.9663,0.0669,0.9758
0.0716,0.9693,0.0521,0.9816
0.0683,0.9713,0.0827,0.9748
0.0649,0.9697,0.0769,0.9737
0.0543,0.9739,0.0651,0.9806
0.0753,0.9688,0.0642,0.9785
0.0676,0.9721,0.0670,0.9779
0.0667,0.9698,0.0723,0.9779
0.0613,0.9722,0.0592,0.9795
0.0538,0.9739,0.0616,0.9727
0.0596,0.9718,0.0697,0.9806
0.0938,0.9621,0.0748,0.9769
0.0595,0.9748,0.0609,0.9774
0.0376,0.9777,0.0561,0.9800
0.0472,0.9788,0.0690,0.9800
0.0409,0.9833,0.0686,0.9758
0.0627,0.9704,0.1071,0.9737
0.0616,0.9733,0.0679,0.9779
0.0484,0.9796,0.0591,0.9758
0.0425,0.9807,0.0648,0.9774
0.0484,0.9783,0.0556,0.9790
0.0360,0.9820,0.0379,0.9858
0.0506,0.9770,0.0538,0.9827
0.0537,0.9758,0.0486,0.9853
0.0372,0.9819,0.0648,0.9800
0.0408,0.9807,0.0557,0.9821
0.0382,0.9833,0.0440,0.9848
0.0582,0.9758,0.0918,0.9711
0.0531,0.9779,0.0589,0.9811
0.0322,0.9860,0.0591,0.9790
0.0271,0.9861,0.1277,0.9690
0.0457,0.9827,0.0758,0.9790
0.0438,0.9829,0.0577,0.9848
0.0481,0.9791,0.0569,0.9806
0.0457,0.9841,0.0609,0.9832
0.0465,0.9834,0.0608,0.9837
0.0489,0.9829,0.0851,0.9774
0.0355,0.9857,0.0556,0.9848
0.0385,0.9850,0.0447,0.9858
0.0317,0.9836,0.0476,0.9874
0.0263,0.9874,0.0493,0.9821
0.0280,0.9861,0.0602,0.9806
0.0420,0.9824,0.0543,0.9816
0.0245,0.9871,0.0407,0.9884
0.0186,0.9921,0.0370,0.9884
0.0267,0.9883,0.0389,0.9884
0.0205,0.9917,0.0375,0.9890
0.0165,0.9920,0.0451,0.9869
0.0184,0.9921,0.0435,0.9884
0.0129,0.9926,0.0398,0.9890
0.0152,0.9921,0.0412,0.9890
0.0205,0.9902,0.0416,0.9884
0.0142,0.9927,0.0393,0.9890
0.0163,0.9925,0.0378,0.9895
0.0145,0.9926,0.0385,0.9900
0.0212,0.9904,0.0388,0.9895
0.0105,0.9946,0.0433,0.9890
0.0169,0.9926,0.0429,0.9890
0.0119,0.9946,0.0478,0.9890
0.0145,0.9934,0.0445,0.9890
0.0133,0.9935,0.0422,0.9890
0.0115,0.9950,0.0419,0.9884
0.0126,0.9926,0.0417,0.9879
0.0094,0.9949,0.0470,0.9879
0.0096,0.9945,0.0473,0.9884
0.0139,0.9940,0.0437,0.9884
0.0152,0.9913,0.0475,0.9884
0.0151,0.9936,0.0516,0.9863
0.0098,0.9945,0.0485,0.9879
0.0097,0.9954,0.0486,0.9863
0.0130,0.9940,0.0524,0.9863
0.0135,0.9935,0.0509,0.9863
0.0089,0.9948,0.0540,0.9863
0.0066,0.9962,0.0515,0.9879
0.0095,0.9955,0.0476,0.9884
0.0138,0.9939,0.0438,0.9874
0.0128,0.9948,0.0462,0.9869
0.0088,0.9954,0.0480,0.9874
0.0117,0.9940,0.0473,0.9874
0.0104,0.9958,0.0469,0.9874
0.0082,0.9969,0.0439,0.9884
0.0047,0.9985,0.0525,0.9869
0.0075,0.9968,0.0552,0.9869
0.0103,0.9962,0.0535,0.9863
0.0162,0.9953,0.0468,0.9879
0.0131,0.9949,0.0449,0.9895
0.0088,0.9967,0.0466,0.9890
0.0106,0.9946,0.0476,0.9879
0.0056,0.9976,0.0501,0.9884
0.0094,0.9953,0.0424,0.9890
0.0120,0.9963,0.0497,0.9879
0.0102,0.9941,0.0460,0.9890
0.0059,0.9977,0.0577,0.9884
