train_loss,train_accuracy,valid_loss,valid_accuracy
0.3432,0.8520,0.1192,0.9601
0.2106,0.9157,0.0881,0.9596
0.1776,0.9213,0.1293,0.9480
0.1520,0.9416,0.1168,0.9522
0.1479,0.9420,0.1674,0.9202
0.1372,0.9389,0.0791,0.9685
0.1221,0.9533,0.0954,0.9643
0.1016,0.9566,0.1053,0.9522
0.1075,0.9600,0.0730,0.9706
0.1067,0.9570,0.0644,0.9727
0.0959,0.9600,0.0661,0.9743
0.0866,0.9625,0.0760,0.9701
0.1025,0.9549,0.0657,0.9758
0.0906,0.9589,0.1089,0.9622
0.0989,0.9578,0.0540,0.9774
0.0856,0.9633,0.0546,0.9816
0.0707,0.9677,0.0559,0.9785
0.0765,0.9670,0.0544,0.9816
0.0663,0.9726,0.0790,0.9758
0.0733,0.9674,0.0643,0.9716
0.0793,0.9661,0.0516,0.9790
0.0827,0.9610,0.0472,0.9811
0.0829,0.9626,0.0769,0.9669
0.0805,0.9676,0.0706,0.9716
0.0737,0.9688,0.0455,0.9795
0.0509,0.9746,0.0549,0.9806
0.0619,0.9746,0.0534,0.9790
0.0471,0.9778,0.0596,0.9790
0.0599,0.9716,0.0614,0.9743
0.0676,0.9686,0.0537,0.9795
0.0663,0.9728,0.0573,0.9779
0.0480,0.9772,0.0713,0.9764
0.0629,0.9731,0.0459,0.9816
0.0577,0.9736,0.0498,0.9821
0.0699,0.9689,0.0437,0.9806
0.0523,0.9767,0.0529,0.9837
0.0539,0.9765,0.0478,0.9779
0.0665,0.9723,0.0601,0.9790
0.0529,0.9811,0.1387,0.9517
0.0814,0.9662,0.0524,0.9790
0.0604,0.9745,0.0567,0.9785
0.0458,0.9811,0.0522,0.9806
0.0516,0.9791,0.0894,0.9722
0.0604,0.9742,0.0523,0.9795
0.0521,0.9787,0.0619,0.9774
0.0491,0.9815,0.0480,0.9827
0.0480,0.9811,0.0695,0.9785
0.0494,0.9795,0.0657,0.9790
0.0462,0.9790,0.0701,0.9774
0.0453,0.9800,0.0465,0.9811
0.0411,0.9836,0.0464,0.9821
0.0350,0.9853,0.0471,0.9827
0.0237,0.9876,0.0483,0.9827
0.0357,0.9860,0.0473,0.9837
0.0335,0.9828,0.0458,0.9848
0.0370,0.9851,0.0432,0.9837
0.0262,0.9865,0.0444,0.9827
0.0402,0.9844,0.0458,0.9832
0.0270,0.9858,0.0465,0.9842
0.0274,0.9885,0.0482,0.9853
0.0270,0.9888,0.0511,0.9848
0.0274,0.9870,0.0537,0.9848
0.0255,0.9895,0.0523,0.9842
0.0290,0.9884,0.0534,0.9821
0.0306,0.9844,0.0480,0.9821
0.0268,0.9878,0.0522,0.9821
0.0232,0.9908,0.0471,0.9842
0.0272,0.9899,0.0482,0.9827
0.0232,0.9898,0.0550,0.9821
0.0216,0.9926,0.0554,0.9832
0.0284,0.9898,0.0556,0.9827
0.0197,0.9925,0.0526,0.9827
0.0295,0.9869,0.0491,0.9842
0.0265,0.9885,0.0526,0.9832
0.0234,0.9897,0.0549,0.9827
0.0218,0.9921,0.0549,0.9827
0.0239,0.9906,0.0541,0.9837
0.0273,0.9890,0.0567,0.9821
0.0213,0.9906,0.0575,0.9832
0.0269,0.9887,0.0598,0.9827
0.0242,0.9906,0.0536,0.9842
0.0231,0.9917,0.0539,0.9837
0.0248,0.9909,0.0572,0.9832
0.0229,0.9922,0.0568,0.9837
0.0202,0.9908,0.0606,0.9837
0.0161,0.9930,0.0610,0.9837
0.0239,0.9897,0.0589,0.9832
0.0138,0.9938,0.0632,0.9821
0.0196,0.9923,0.0609,0.9848
0.0234,0.9879,0.0620,0.9827
0.0158,0.9941,0.0640,0.9816
0.0191,0.9907,0.0645,0.9827
0.0192,0.9918,0.0628,0.9827
0.0205,0.9918,0.0594,0.9832
0.0174,0.9935,0.0544,0.9858
0.0208,0.9916,0.0599,0.9842
0.0218,0.9915,0.0669,0.9816
0.0104,0.9950,0.0668,0.9827
0.0149,0.9943,0.0636,0.9821
0.0241,0.9904,0.0620,0.9837
