train_loss,train_accuracy,valid_loss,valid_accuracy
0.2968,0.8703,0.1277,0.9485
0.1489,0.9394,0.1113,0.9559
0.1488,0.9434,0.0990,0.9564
0.1403,0.9376,0.1085,0.9575
0.1108,0.9519,0.0796,0.9638
0.0945,0.9573,0.0876,0.9606
0.1027,0.9563,0.0621,0.9737
0.0818,0.9621,0.0593,0.9737
0.0752,0.9682,0.0638,0.9748
0.0868,0.9651,0.0634,0.9722
0.0733,0.9610,0.0828,0.9659
0.0712,0.9656,0.0579,0.9758
0.0553,0.9712,0.0580,0.9748
0.0634,0.9680,0.0638,0.9690
0.0771,0.9693,0.0714,0.9685
0.0664,0.9685,0.0632,0.9795
0.0677,0.9711,0.0702,0.9722
0.0560,0.9735,0.0719,0.9722
0.0644,0.9731,0.0570,0.9790
0.0486,0.9742,0.0528,0.9811
0.0585,0.9712,0.0670,0.9774
0.0502,0.9742,0.0619,0.9732
0.0818,0.9679,0.0613,0.9753
0.0519,0.9762,0.0823,0.9722
0.0491,0.9774,0.0565,0.9769
0.0491,0.9758,0.0661,0.9774
0.0340,0.9814,0.0576,0.9774
0.0507,0.9768,0.0868,0.9685
0.0417,0.9791,0.0801,0.9722
0.0403,0.9811,0.1320,0.9601
0.0308,0.9869,0.0734,0.9685
0.0517,0.9768,0.0720,0.9743
0.0356,0.9830,0.0590,0.9806
0.0286,0.9855,0.0646,0.9800
0.0512,0.9760,0.0663,0.9758
0.0383,0.9795,0.0616,0.9769
0.0431,0.9784,0.0648,0.9795
0.0381,0.9820,0.0634,0.9758
0.0522,0.9793,0.0653,0.9727
0.0368,0.9813,0.0709,0.9769
0.0293,0.9853,0.0662,0.9785
0.0320,0.9837,0.1009,0.9653
0.0417,0.9823,0.0698,0.9737
0.0339,0.9836,0.0605,0.9795
0.0309,0.9855,0.0633,0.9779
0.0313,0.9851,0.0808,0.9722
0.0410,0.9818,0.0740,0.9695
0.0270,0.9861,0.0563,0.9800
0.0278,0.9866,0.0659,0.9716
0.0298,0.9858,0.1103,0.9779
0.0247,0.9866,0.0700,0.9816
0.0187,0.9918,0.0701,0.9832
0.0165,0.9920,0.0645,0.9832
0.0182,0.9916,0.0572,0.9832
0.0173,0.9911,0.0525,0.9837
0.0145,0.9916,0.0523,0.9821
0.0106,0.9945,0.0533,0.9827
0.0146,0.9921,0.0622,0.9827
0.0141,0.9943,0.0624,0.9827
0.0138,0.9927,0.0610,0.9821
0.0108,0.9935,0.0588,0.9837
0.0128,0.9932,0.0655,0.9821
0.0143,0.9927,0.0614,0.9832
0.0126,0.9944,0.0577,0.9837
0.0127,0.9935,0.0574,0.9827
0.0102,0.9955,0.0582,0.9821
0.0103,0.9943,0.0582,0.9827
0.0116,0.9936,0.0543,0.9821
0.0123,0.9943,0.0518,0.9837
0.0091,0.9960,0.0531,0.9821
0.0105,0.9945,0.0528,0.9842
0.0081,0.9954,0.0528,0.9848
0.0105,0.9952,0.0552,0.9837
0.0097,0.9968,0.0639,0.9827
0.0078,0.9946,0.0598,0.9821
0.0080,0.9953,0.0587,0.9827
0.0073,0.9959,0.0600,0.9832
0.0096,0.9954,0.0570,0.9832
0.0085,0.9954,0.0535,0.9821
0.0110,0.9946,0.0571,0.9806
0.0089,0.9957,0.0507,0.9821
0.0073,0.9958,0.0555,0.9806
0.0099,0.9955,0.0558,0.9827
0.0081,0.9960,0.0534,0.9827
0.0090,0.9957,0.0599,0.9837
0.0074,0.9966,0.0578,0.9832
0.0061,0.9968,0.0600,0.9832
0.0067,0.9955,0.0601,0.9800
0.0088,0.9954,0.0541,0.9816
0.0063,0.9968,0.0556,0.9821
0.0066,0.9962,0.0560,0.9832
0.0077,0.9963,0.0528,0.9837
0.0068,0.9964,0.0502,0.9837
0.0069,0.9971,0.0546,0.9832
0.0081,0.9969,0.0569,0.9837
0.0086,0.9957,0.0598,0.9816
0.0069,0.9959,0.0575,0.9811
0.0066,0.9960,0.0566,0.9827
0.0069,0.9963,0.0609,0.9806
0.0081,0.9963,0.0638,0.9816
