train_loss,train_accuracy,valid_loss,valid_accuracy
0.1885,0.9214,0.0927,0.9596
0.1121,0.9530,0.0749,0.9690
0.1076,0.9540,0.1437,0.9501
0.0808,0.9655,0.0668,0.9737
0.0821,0.9646,0.4139,0.8503
0.1270,0.9475,0.0892,0.9648
0.0598,0.9752,0.0663,0.9748
0.0450,0.9771,0.0817,0.9774
0.0412,0.9808,0.0752,0.9785
0.0545,0.9757,0.0529,0.9790
0.0326,0.9848,0.0905,0.9674
0.0393,0.9813,0.0993,0.9685
0.0373,0.9827,0.0667,0.9753
0.0407,0.9796,0.0937,0.9732
0.0378,0.9842,0.0616,0.9753
0.0394,0.9832,0.0793,0.9722
0.0208,0.9897,0.0821,0.9748
0.0267,0.9860,0.0536,0.9832
0.0326,0.9840,0.1472,0.9590
0.0489,0.9814,0.0635,0.9853
0.0237,0.9866,0.0508,0.9842
0.0327,0.9846,0.0669,0.9769
0.0405,0.9818,0.0611,0.9800
0.0284,0.9865,0.0489,0.9827
0.0216,0.9889,0.0470,0.9821
0.0240,0.9901,0.1095,0.9716
0.0244,0.9882,0.0609,0.9764
0.0139,0.9917,0.0457,0.9827
0.0256,0.9897,0.0422,0.9837
0.0439,0.9838,0.0601,0.9774
0.0344,0.9846,0.0472,0.9832
0.0176,0.9908,0.0390,0.9863
0.0196,0.9911,0.1015,0.9711
0.0183,0.9908,0.0456,0.9853
0.0212,0.9916,0.0661,0.9816
0.0240,0.9910,0.0618,0.9816
0.0434,0.9824,0.2398,0.9186
0.0355,0.9837,0.0605,0.9816
0.0141,0.9924,0.0682,0.9800
0.0181,0.9922,0.0459,0.9827
0.0102,0.9949,0.0703,0.9827
0.0119,0.9940,0.0597,0.9821
0.0288,0.9885,0.0418,0.9842
0.0134,0.9939,0.0605,0.9827
0.0149,0.9935,0.0899,0.9706
0.0170,0.9899,0.0426,0.9842
0.0107,0.9940,0.0409,0.9848
0.0132,0.9935,0.0507,0.9853
0.0125,0.9944,0.0692,0.9774
0.0476,0.9843,0.0696,0.9716
0.0268,0.9920,0.0585,0.9774
0.0139,0.9940,0.0560,0.9795
0.0099,0.9944,0.0524,0.9816
0.0075,0.9957,0.0497,0.9827
0.0074,0.9964,0.0503,0.9811
0.0045,0.9972,0.0470,0.9842
0.0042,0.9978,0.0503,0.9827
0.0043,0.9981,0.0517,0.9816
0.0038,0.9977,0.0519,0.9827
0.0030,0.9982,0.0546,0.9827
0.0038,0.9985,0.0512,0.9842
0.0033,0.9977,0.0563,0.9816
0.0039,0.9978,0.0474,0.9842
0.0040,0.9990,0.0603,0.9821
0.0021,0.9986,0.0497,0.9842
0.0020,0.9992,0.0553,0.9827
0.0023,0.9986,0.0529,0.9848
0.0018,0.9991,0.0515,0.9842
0.0013,0.9992,0.0589,0.9827
0.0018,0.9989,0.0622,0.9821
0.0021,0.9985,0.0557,0.9832
0.0011,0.9992,0.0590,0.9821
0.0016,0.9987,0.0658,0.9811
0.0011,0.9995,0.0528,0.9853
0.0008,0.9995,0.0512,0.9853
0.0014,0.9992,0.0507,0.9863
0.0010,0.9992,0.0569,0.9848
0.0012,0.9994,0.0655,0.9837
0.0022,0.9986,0.0689,0.9832
0.0008,0.9992,0.0681,0.9821
0.0009,0.9997,0.0619,0.9837
0.0004,0.9999,0.0632,0.9837
0.0005,0.9997,0.0641,0.9837
0.0013,0.9995,0.0552,0.9842
0.0008,0.9996,0.0567,0.9853
0.0017,0.9994,0.0670,0.9853
0.0004,0.9997,0.0627,0.9858
0.0005,0.9997,0.0631,0.9848
0.0004,0.9999,0.0582,0.9863
0.0010,0.9996,0.0740,0.9827
0.0004,0.9999,0.0793,0.9816
0.0006,0.9996,0.0594,0.9863
0.0013,0.9991,0.0878,0.9795
0.0005,0.9995,0.0707,0.9832
0.0011,0.9995,0.0845,0.9821
0.0009,0.9994,0.0734,0.9832
0.0004,0.9996,0.0769,0.9832
0.0012,0.9992,0.0823,0.9827
0.0014,0.9990,0.0836,0.9837
0.0008,0.9996,0.0746,0.9827
